Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2018,30,3.9,Yomiuri,JPEL,Fgn,,0,0,,4.50,4.50,2,,,0,0,0,2.0,3,1,1,0,1,0,2,0,0,1,10,2.000,13.5,0.0,4.5,9.0,2.00
2019,31,,2 Teams,2 Lgs,Fgn,,16,4,.800,2.78,3.08,28,,,0,0,0,181.0,148,62,56,8,64,1,194,13,0,5,750,1.171,7.4,0.4,3.2,9.6,3.03
2019,31,3.2,Yomiuri,JPCL,Fgn,,15,4,.789,2.91,3.18,26,,,0,0,0,170.0,137,60,55,8,60,1,188,13,0,4,705,1.159,7.3,0.4,3.2,10.0,3.13
2019,31,5.3,Yomiuri,JPEL,Fgn,,1,0,1.000,0.82,1.64,2,,,0,0,0,11.0,11,2,1,0,4,0,6,0,0,1,45,1.364,9.0,0.0,3.3,4.9,1.50
2020,32,3.8,TOR,AL,Maj,TOR,2,4,.333,8.06,8.77,17,0,7,0,0,0,25.2,28,25,23,6,17,0,26,2,1,2,120,1.753,9.8,2.1,6.0,9.1,1.53
2021,33,5.6,Sacramento,AAAW,AAA,SFG,0,3,.000,6.17,6.94,5,4,1,0,0,0,23.1,19,18,16,3,14,1,25,2,0,0,105,1.414,7.3,1.2,5.4,9.6,1.79
2021,33,5.8,Yomiuri,JPCL,Fgn,,2,8,.200,3.56,3.91,15,,,0,0,0,78.1,66,34,31,6,37,1,83,3,0,0,337,1.315,7.6,0.7,4.3,9.5,2.24
2022,34,,2 Teams,2 Lgs,Fgn,,1,2,.333,3.77,4.06,24,,,0,0,3,31.0,32,14,13,3,11,0,35,1,0,5,136,1.387,9.3,0.9,3.2,10.2,3.18
2022,34,9.0,Yomiuri,JPEL,Fgn,,1,2,.333,4.03,4.34,23,,,0,0,3,29.0,32,14,13,3,9,0,31,1,0,5,128,1.414,9.9,0.9,2.8,9.6,3.44
2022,34,6.8,Yomiuri,JPCL,Fgn,,0,0,,0.00,0.00,1,,,0,0,0,2.0,0,0,0,0,2,0,4,0,0,0,8,1.000,0.0,0.0,9.0,18.0,2.00
