Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2021,19,,2 Teams,2 Lgs,Fgn,,4,2,.667,1.84,2.92,16,,,0,0,0,83.1,61,27,17,6,19,1,87,2,0,3,334,0.960,6.6,0.6,2.1,9.4,4.58
2021,19,-8.7,Chiba Lotte,JPPL,Fgn,,3,2,.600,2.27,3.41,11,,,0,0,0,63.1,51,24,16,5,16,1,68,0,0,3,258,1.058,7.2,0.7,2.3,9.7,4.25
2021,19,-6.3,Chiba Lotte,JPEL,Fgn,,1,0,1.000,0.45,1.35,5,,,0,0,0,20.0,10,3,1,1,3,0,19,2,0,0,76,0.650,4.5,0.5,1.4,8.6,6.33
2022,20,-7.6,Chiba Lotte,JPPL,Fgn,,9,4,.692,2.02,2.16,20,,,2,1,0,129.1,80,31,29,7,23,2,173,7,1,4,490,0.796,5.6,0.5,1.6,12.0,7.52
2023,21,-6.7,Chiba Lotte,JPPL,Fgn,,7,4,.636,1.78,1.88,15,,,0,0,0,91.0,51,19,18,1,17,0,135,5,0,12,345,0.747,5.0,0.1,1.7,13.4,7.94
2024,22,-5.7,Chiba Lotte,JPPL,Fgn,,10,5,.667,2.35,2.76,18,,,1,0,0,111.0,83,34,29,2,32,1,129,8,0,9,450,1.036,6.7,0.2,2.6,10.5,4.03
2025,23,-4.1,Oklahoma City,PCL,AAA,LAD,0,2,.000,6.10,6.53,7,5,0,0,0,0,20.2,20,15,14,2,13,0,19,2,0,1,95,1.597,8.7,0.9,5.7,8.3,1.46
2025,23,-6.1,LAD,NL,Maj,LAD,1,1,.500,4.46,4.46,10,8,0,0,0,0,36.1,30,18,18,6,22,0,28,3,0,2,161,1.431,7.4,1.5,5.4,6.9,1.27
