Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Katsuya Kakunaka,29,LOT,Fgn,,143,607,525,74,178,30,5,8,69,12,4,68,64,.339,.417,.461,.877,242,8,6,2,6,6,player.fcgi?id=kakuna001kat
2,Shohei Ohtani,21,NPN,Fgn,,104,382,323,65,104,18,1,22,67,7,2,54,98,.322,.416,.588,1.004,190,7,1,0,4,2,player.fcgi?id=otani-000sho
3,Haruki Nishikawa,24,NPN,Fgn,,138,593,493,76,155,18,4,5,43,41,5,73,113,.314,.405,.398,.802,196,0,3,22,2,0,player.fcgi?id=nishik000har
4,Hideto Asamura,25,SEI,Fgn,,143,611,557,73,172,40,0,24,82,8,6,38,108,.309,.357,.510,.867,284,18,7,3,6,0,player.fcgi?id=asamur001hid
5,Naoto Watanabe,35,SEI,Fgn,,70,207,181,18,56,3,2,0,16,1,0,10,20,.309,.352,.348,.700,63,5,3,11,2,0,player.fcgi?id=watana001nao
6,Yoshio Itoi,34,ORX,Fgn,,143,616,532,79,163,24,1,17,70,53,17,75,84,.306,.398,.451,.849,240,13,7,0,2,5,player.fcgi?id=itoi--001yos
7,Yuki Yanagita,27,FKA,Fgn,,120,536,428,82,131,31,4,18,73,23,2,100,97,.306,.446,.523,.969,224,8,8,0,0,2,player.fcgi?id=yanagi000yuk
8,Seiichi Uchikawa,33,FKA,Fgn,,141,605,556,62,169,19,0,18,106,3,2,38,53,.304,.345,.435,.781,242,27,2,0,9,2,player.fcgi?id=uchika001sei
9,Shogo Akiyama,28,SEI,Fgn,,143,671,578,98,171,32,4,11,62,18,6,77,103,.296,.385,.422,.807,244,2,10,0,6,2,player.fcgi?id=akiyam000sho
10,Ryo Hijirisawa,30,TOH,Fgn,,94,229,201,32,59,6,2,3,19,3,3,11,41,.294,.335,.388,.723,78,5,2,14,1,0,player.fcgi?id=hijiri001ryo
11,Daikan Yoh,29,NPN,Fgn,,130,555,495,66,145,24,1,14,61,5,6,42,121,.293,.359,.430,.790,213,10,10,7,1,1,player.fcgi?id=yang--001chu
12,Tomoya Mori,20,SEI,Fgn,,107,392,349,43,102,20,0,10,46,1,1,42,96,.292,.367,.436,.803,152,3,0,0,1,0,player.fcgi?id=mori--000tom
13,Hiroyuki Nakajima,33,ORX,Fgn,,96,347,314,24,91,23,0,8,47,1,0,26,54,.290,.346,.439,.785,138,7,3,0,4,0,player.fcgi?id=nakaji001hir
14,Masataka Yoshida,22,ORX,Fgn,,63,258,231,35,67,17,0,10,34,0,2,25,34,.290,.360,.494,.854,114,6,1,0,1,0,player.fcgi?id=yoshid002mas
15,Akira Nakamura*,26,FKA,Fgn,,143,612,488,69,140,21,1,7,50,6,5,99,53,.287,.416,.377,.793,184,8,12,9,4,4,player.fcgi?id=nakamu000aki
