Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Masataka Yoshida,27,ORX,Fgn,,110,455,389,61,132,22,1,21,72,0,0,58,26,.339,.429,.563,.992,219,9,5,0,3,6,player.fcgi?id=yoshid002mas
2,Tomoya Mori,25,SEI,Fgn,,125,520,431,70,133,32,2,11,41,5,2,79,65,.309,.420,.469,.889,202,4,6,1,3,3,player.fcgi?id=mori--000tom
3,Yutaro Sugimoto,30,ORX,Fgn,,134,542,478,73,144,20,2,32,83,3,3,51,116,.301,.378,.552,.931,264,15,10,0,3,4,player.fcgi?id=sugimo000yut
4,Yuki Yanagita,32,FKA,Fgn,,141,593,516,95,155,36,2,28,80,6,0,69,122,.300,.388,.541,.929,279,6,6,0,2,8,player.fcgi?id=yanagi000yuk
5,Kensuke Kondoh,27,NPN,Fgn,,133,545,447,61,133,37,4,11,69,4,1,88,84,.298,.413,.472,.885,211,11,4,0,6,3,player.fcgi?id=kondo-000ken
6,Takashi Ogino,35,LOT,Fgn,,143,643,570,86,169,33,5,10,45,24,11,53,70,.296,.367,.425,.791,242,5,12,5,3,0,player.fcgi?id=ogino-001tak
7,Takeya Nakamura,37,SEI,Fgn,,123,475,430,50,122,13,0,18,74,0,0,39,114,.284,.343,.440,.783,189,12,2,0,4,3,player.fcgi?id=nakamu001tak
8,Shogo Nakamura,29,LOT,Fgn,,143,615,506,78,143,36,2,9,67,12,7,76,90,.283,.382,.415,.797,210,8,10,15,8,1,player.fcgi?id=nakamu000sho
9,Takero Okajima,31,TOH,Fgn,,126,507,461,40,129,30,4,8,56,3,6,28,94,.280,.331,.414,.745,191,9,9,5,4,1,player.fcgi?id=okajim000tak
10,Taisei Makihara,28,FKA,Fgn,,98,292,273,41,76,7,2,4,21,14,1,9,42,.278,.305,.363,.668,99,5,2,7,1,0,player.fcgi?id=makiha000tai
11,Gakuto Wakabayashi,23,SEI,Fgn,,44,161,144,14,40,8,1,2,10,20,8,10,41,.278,.340,.389,.729,56,3,4,2,1,0,player.fcgi?id=wakaba000gak
12,Daichi Suzuki,31,TOH,Fgn,,143,628,552,70,153,19,3,10,53,3,2,52,51,.277,.343,.377,.720,208,12,6,13,5,0,player.fcgi?id=suzuki001dai
13,Shuhei Fukuda,28,ORX,Fgn,,107,471,408,47,112,14,1,1,21,9,1,43,52,.275,.354,.321,.675,131,6,8,10,2,0,player.fcgi?id=fukuda002shu
14,Ryoya Kurihara,24,FKA,Fgn,,143,596,531,71,146,32,3,21,77,7,2,53,90,.275,.339,.465,.804,247,9,2,3,7,1,player.fcgi?id=kuriha000ryo
15,Sosuke Genda,28,SEI,Fgn,,119,516,464,60,126,15,7,2,29,24,9,31,67,.272,.319,.347,.666,161,5,2,17,2,0,player.fcgi?id=genda-000sos
16,Yuma Mune,25,ORX,Fgn,,139,543,481,71,131,17,7,9,42,8,4,33,62,.272,.335,.393,.728,189,15,13,14,2,1,player.fcgi?id=mune--000yum
17,Hideto Asamura,30,TOH,Fgn,,143,595,483,70,130,18,1,18,67,1,0,101,96,.269,.395,.422,.817,204,24,4,0,7,5,player.fcgi?id=asamur001hid
18,Yuki Nomura,21,NPN,Fgn,,99,394,371,30,99,12,1,7,37,0,1,16,90,.267,.303,.361,.664,134,7,4,1,2,0,player.fcgi?id=nomura000yuk
19,Alfredo Despaigne,35,FKA,Fgn,,80,308,261,27,69,13,1,10,41,0,1,44,64,.264,.373,.437,.810,114,12,2,0,1,2,player.fcgi?id=despai000alf
20,Brandon Laird,33,LOT,Fgn,,136,545,485,57,127,18,0,29,95,0,1,50,109,.262,.330,.478,.809,232,15,3,0,7,4,player.fcgi?id=laird-001bra
21,Yuto Takahama,24,NPN,Fgn,,107,404,367,34,96,21,1,8,43,2,0,23,82,.262,.305,.390,.695,143,10,1,11,2,1,player.fcgi?id=takaha000yut
22,Ryoichi Adachi,33,ORX,Fgn,,100,382,321,36,83,14,0,0,18,5,4,46,65,.259,.351,.302,.653,97,7,0,14,1,0,player.fcgi?id=adachi000ryo
23,Eigoro Mogi,27,TOH,Fgn,,120,466,410,50,106,19,4,14,53,6,5,48,107,.259,.343,.427,.770,175,6,6,0,2,0,player.fcgi?id=mogi--000eig
24,Hiroaki Shimauchi*,31,TOH,Fgn,,141,599,486,64,125,34,5,21,96,2,2,97,87,.257,.385,.477,.863,232,15,8,2,6,2,player.fcgi?id=shimau002hir
25,Tsuyoshi Yamasaki,25,TOH,Fgn,,56,194,168,29,43,6,3,4,24,4,2,15,41,.256,.326,.399,.725,67,5,3,7,1,1,player.fcgi?id=yamasa000tsu
26,Yudai Fujioka,27,LOT,Fgn,,137,493,432,41,110,21,3,3,37,10,3,40,95,.255,.320,.338,.658,146,7,2,18,1,2,player.fcgi?id=fujiok000yud
27,Daiki Asama,25,NPN,Fgn,,128,458,411,42,103,17,2,5,31,8,4,31,115,.251,.308,.338,.646,139,5,5,7,4,2,player.fcgi?id=asama-000dai
28,Takumi Kuriyama,37,SEI,Fgn,,117,446,387,33,97,15,0,4,43,1,0,49,58,.251,.334,.320,.654,124,11,3,0,7,1,player.fcgi?id=kuriya001tak
29,Masaki Mimori,22,FKA,Fgn,,86,345,329,34,82,9,6,0,20,16,5,11,77,.249,.272,.313,.585,103,3,0,3,2,0,player.fcgi?id=mimori000mas
30,Hiroto Kobukata,25,TOH,Fgn,,121,455,391,60,97,10,3,3,21,5,5,44,65,.248,.328,.312,.640,122,1,3,16,1,0,player.fcgi?id=kobuka000hir
31,Akira Nakamura*,31,FKA,Fgn,,139,552,462,49,113,20,2,8,56,1,1,70,59,.245,.344,.348,.692,161,8,3,11,6,3,player.fcgi?id=nakamu000aki
32,Katsuya Kakunaka,34,LOT,Fgn,,107,326,275,33,67,19,1,0,29,1,0,40,51,.244,.343,.320,.663,88,4,4,2,5,3,player.fcgi?id=kakuna001kat
33,Hiromi Oka,29,LOT,Fgn,,110,185,161,31,39,6,0,6,18,11,1,14,44,.242,.322,.391,.714,63,6,5,5,0,1,player.fcgi?id=oka---000hir
34,Po Jung Wang,27,NPN,Fgn,,95,283,252,22,61,20,0,9,48,1,0,25,70,.242,.322,.429,.750,108,4,5,0,1,0,player.fcgi?id=wang--000po-
35,Ryo Watanabe,26,NPN,Fgn,,83,325,281,21,68,13,0,3,29,5,1,30,72,.242,.327,.320,.647,90,12,7,4,3,1,player.fcgi?id=watana002ryo
36,Hisanori Yasuda,22,LOT,Fgn,,115,399,351,27,85,16,1,8,55,0,0,43,82,.242,.323,.362,.685,127,5,1,0,4,0,player.fcgi?id=yasuda000his
37,Takahiro Okada*,33,ORX,Fgn,,115,407,357,45,86,16,1,17,63,2,3,35,86,.241,.322,.434,.756,155,2,10,0,5,4,player.fcgi?id=okada-001tak
38,Nien Ting Wu,28,SEI,Fgn,,130,478,425,43,101,17,0,10,48,3,2,43,70,.238,.310,.348,.658,148,3,3,4,3,1,player.fcgi?id=wu----000nie
39,Adam Jones,35,ORX,Fgn,,72,180,154,10,36,4,0,4,23,0,0,22,35,.234,.339,.338,.677,52,7,3,0,1,1,player.fcgi?id=jones-001ada
40,Nobuhiro Matsuda,38,FKA,Fgn,,115,390,354,30,83,13,3,14,47,5,0,27,67,.234,.289,.407,.696,144,10,2,3,4,1,player.fcgi?id=matsud001nob
41,Leonys Martín,33,LOT,Fgn,,116,499,416,66,97,30,0,27,75,4,1,70,132,.233,.355,.500,.855,208,9,10,0,3,3,player.fcgi?id=martin007leo
42,Haruki Nishikawa,29,NPN,Fgn,,130,547,447,68,104,19,5,3,35,24,11,89,99,.233,.362,.318,.680,142,3,4,3,4,1,player.fcgi?id=nishik000har
43,Cory Spangenberg,30,SEI,Fgn,,61,212,181,30,42,7,3,7,27,3,3,27,64,.232,.340,.420,.760,76,5,3,0,1,0,player.fcgi?id=spange000cor
44,Hotaka Yamakawa,29,SEI,Fgn,,110,414,358,42,83,13,0,24,66,0,0,43,101,.232,.321,.469,.791,168,7,7,0,6,0,player.fcgi?id=yamaka000hot
45,Steven Moya,29,ORX,Fgn,,106,375,354,26,81,10,1,13,47,1,0,17,81,.229,.261,.373,.634,132,11,0,0,4,3,player.fcgi?id=moya--001ste
46,Kotaro Kurebayashi,19,ORX,Fgn,,136,473,448,37,102,22,2,10,48,2,1,12,101,.228,.251,.353,.603,158,11,3,6,4,0,player.fcgi?id=kureba000kot
47,Takuya Kai,28,FKA,Fgn,,143,479,405,42,92,15,0,12,44,6,6,44,142,.227,.305,.353,.658,143,7,2,26,2,0,player.fcgi?id=kai---000tak
48,Kazunari Ishii,27,NPN,Fgn,,111,321,284,25,64,11,4,4,19,8,5,22,87,.225,.280,.335,.615,95,2,0,14,1,0,player.fcgi?id=ishii-002kaz
49,Seiji Kawagoe*,28,SEI,Fgn,,63,174,160,12,36,3,1,5,11,1,0,12,44,.225,.283,.350,.633,56,2,1,1,0,0,player.fcgi?id=kawago000sei
