Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Munetaka Murakami,22,YKU,Fgn,,141,612,487,114,155,21,1,56,134,12,7,118,128,.318,.458,.710,1.168,346,7,7,0,0,25,player.fcgi?id=muraka000mun
2,Ryoma Nishikawa,27,HIR,Fgn,,97,424,390,60,123,19,3,10,53,2,2,30,74,.315,.366,.456,.822,178,8,2,0,2,4,player.fcgi?id=nishik000ryo
3,Yohei Ohshima*,36,CNI,Fgn,,109,482,436,48,137,18,1,1,20,11,4,34,52,.314,.376,.367,.743,160,1,9,3,0,5,player.fcgi?id=oshima001yoh
4,Takayoshi Noma,29,HIR,Fgn,,85,338,317,42,99,21,3,0,16,7,5,16,53,.312,.347,.397,.745,126,5,1,4,0,0,player.fcgi?id=noma--000tak
5,Takashi Uemoto,31,HIR,Fgn,,94,300,261,36,80,9,1,2,18,2,1,21,31,.307,.376,.372,.748,97,8,8,10,0,5,player.fcgi?id=uemoto000tak
6,Keita Sano,27,YKO,Fgn,,133,574,526,63,161,29,1,22,72,2,1,43,57,.306,.362,.490,.853,258,14,4,0,1,3,player.fcgi?id=sano--000kei
7,Toshiro Miyazaki,33,YKO,Fgn,,122,482,434,51,130,24,1,16,50,0,0,44,35,.300,.365,.470,.835,204,16,2,0,2,9,player.fcgi?id=miyaza000tos
8,Dayán Viciedo,33,CNI,Fgn,,129,532,483,52,142,27,0,14,63,1,1,40,59,.294,.355,.437,.792,211,20,7,0,2,2,player.fcgi?id=vicied001day
9,Koji Chikamoto*,27,HAN,Fgn,,132,580,525,71,154,16,3,3,34,30,5,41,63,.293,.352,.352,.704,185,7,7,6,1,0,player.fcgi?id=chikam000koj
10,Shugo Maki,24,YKO,Fgn,,135,568,509,63,148,36,1,24,87,3,3,43,82,.291,.354,.507,.861,258,14,10,0,6,4,player.fcgi?id=maki--000shu
11,Yuki Okabayashi,20,CNI,Fgn,,142,608,553,58,161,25,10,0,32,24,6,29,67,.291,.329,.373,.702,206,4,3,22,1,1,player.fcgi?id=okabay000yuk
12,Shogo Sakakura,24,HIR,Fgn,,143,599,539,73,155,18,3,16,68,2,1,46,81,.288,.352,.421,.773,227,14,10,0,4,3,player.fcgi?id=sakaku000sho
13,Hayato Sakamoto,33,YOM,Fgn,,83,352,304,35,87,14,0,5,33,2,2,45,65,.286,.378,.382,.759,116,3,1,0,2,6,player.fcgi?id=sakamo001hay
14,Taishi Ohta,32,YKO,Fgn,,62,153,144,17,40,10,1,5,18,0,1,6,33,.278,.309,.465,.774,67,4,1,1,1,0,player.fcgi?id=ota---001tai
15,Naoki Yoshikawa,27,YOM,Fgn,,132,567,516,64,143,20,6,7,31,16,7,32,53,.277,.329,.380,.708,196,6,8,10,1,0,player.fcgi?id=yoshik000nao
16,Ariel Martínez,26,CNI,Fgn,,82,286,254,29,70,15,1,8,24,1,1,23,55,.276,.350,.437,.787,111,8,7,0,2,1,player.fcgi?id=martin002ari
17,Takumu Nakano,26,HAN,Fgn,,135,610,569,69,157,16,3,6,25,23,7,18,89,.276,.301,.346,.647,197,9,3,19,1,0,player.fcgi?id=nakano004tak
18,Yasutaka Shiomi,29,YKU,Fgn,,130,567,508,83,140,30,6,16,54,24,7,43,122,.276,.345,.453,.797,230,6,12,1,3,1,player.fcgi?id=shiomi000yas
19,Domingo Santana,29,YKU,Fgn,,60,215,189,26,52,7,0,15,35,0,0,23,73,.275,.353,.550,.904,104,6,1,0,2,0,player.fcgi?id=santan002dom
20,Yoshihiro Maru,33,YOM,Fgn,,143,607,525,81,143,31,1,27,65,6,7,80,88,.272,.370,.490,.859,257,8,1,1,0,1,player.fcgi?id=maru--001yos
21,Ryan McBroom*,30,HIR,Fgn,,128,508,448,57,122,25,0,17,74,0,0,52,105,.272,.352,.442,.794,198,13,5,0,3,2,player.fcgi?id=mcbroo000rya
22,José Osuna,29,YKU,Fgn,,138,529,496,49,135,19,2,20,74,2,3,29,93,.272,.312,.440,.751,218,11,1,0,3,4,player.fcgi?id=ozuna-001jos
23,Adam Walker,30,YOM,Fgn,,124,428,406,58,110,28,1,23,52,5,0,18,98,.271,.306,.515,.821,209,11,3,0,1,1,player.fcgi?id=walker002ada
24,Toshiki Abe,32,CNI,Fgn,,133,548,486,44,131,31,2,9,57,3,1,49,105,.270,.338,.397,.735,193,14,4,3,6,0,player.fcgi?id=abe---001tos
25,Sho Nakata,33,YOM,Fgn,,109,375,338,39,91,8,0,24,68,0,0,27,72,.269,.327,.506,.833,171,9,4,2,4,2,player.fcgi?id=nakata001sho
26,Yusuke Ohyama,27,HAN,Fgn,,124,510,439,54,117,18,1,23,87,0,1,59,103,.267,.358,.469,.827,206,17,6,1,5,5,player.fcgi?id=oyama-000yus
27,Kaito Kozono,22,HIR,Fgn,,127,511,473,57,126,12,6,7,38,2,2,24,76,.266,.300,.362,.662,171,11,1,8,5,2,player.fcgi?id=kozono000kai
28,Takumi Ohshiro,29,YOM,Fgn,,115,393,346,24,92,11,1,13,43,1,0,36,77,.266,.339,.416,.755,144,10,2,9,0,4,player.fcgi?id=oshiro000tak
29,Neftali Soto,33,YKO,Fgn,,117,412,368,35,98,25,0,17,49,0,0,38,103,.266,.342,.473,.815,174,11,5,0,1,2,player.fcgi?id=soto--001nef
30,Shogo Akiyama,34,HIR,Fgn,,44,174,155,19,41,6,1,5,26,0,0,11,34,.265,.333,.413,.746,64,6,6,0,2,0,player.fcgi?id=akiyam000sho
31,Teruaki Sato,23,HAN,Fgn,,143,603,541,70,143,35,8,20,84,11,3,51,137,.264,.328,.470,.798,254,5,4,0,7,5,player.fcgi?id=sato--000ter
32,Kairi Shimada,26,HAN,Fgn,,123,339,311,36,82,7,2,0,17,21,5,15,56,.264,.303,.299,.602,93,3,3,9,1,0,player.fcgi?id=shimad000kai
33,Yasutaka Tobashira,32,YKO,Fgn,,72,151,144,12,38,5,0,4,16,0,0,3,26,.264,.280,.382,.662,55,2,1,1,2,0,player.fcgi?id=tobash000yas
34,Yuhei Nakamura,32,YKU,Fgn,,86,307,266,23,70,9,1,5,28,0,0,26,36,.263,.334,.361,.695,96,10,4,8,3,0,player.fcgi?id=nakamu001yuh
35,Ryosuke Kikuchi,32,HIR,Fgn,,123,522,462,51,121,25,1,6,45,2,3,24,70,.262,.300,.359,.659,166,7,2,32,2,0,player.fcgi?id=kikuch000ryo
36,Kotaro Yamasaki*,28,YKU,Fgn,,118,378,341,52,88,12,4,2,37,10,5,24,65,.258,.309,.334,.643,114,5,2,9,2,0,player.fcgi?id=yamasa000kot
37,Masayuki Kuwahara,28,YKO,Fgn,,130,529,475,61,122,32,1,4,39,13,8,42,89,.257,.322,.354,.676,168,3,4,7,1,0,player.fcgi?id=kuwaha000mas
38,Taiki Sekine*,27,YKO,Fgn,,104,225,201,28,51,7,1,1,13,5,5,9,31,.254,.293,.313,.606,63,2,3,10,2,0,player.fcgi?id=sekine000tai
39,Taishi Kusumoto,26,YKO,Fgn,,94,327,282,27,71,13,0,6,26,6,2,23,55,.252,.322,.362,.683,102,4,7,13,2,0,player.fcgi?id=kusumo000tai
40,Kazuma Okamoto,26,YOM,Fgn,,140,589,520,63,131,21,1,30,82,1,1,58,94,.252,.336,.469,.805,244,11,9,0,2,7,player.fcgi?id=okamot002kaz
41,Shuhei Takahashi,28,CNI,Fgn,,78,290,265,18,66,7,1,2,21,1,1,16,43,.249,.308,.306,.614,81,8,7,1,1,0,player.fcgi?id=takaha000shu
42,Yasuhiro Yamamoto,28,HAN,Fgn,,86,203,181,19,45,4,0,2,15,3,3,10,42,.249,.290,.304,.594,55,1,1,10,1,0,player.fcgi?id=yamamo003yas
43,Nori Aoki,40,YKU,Fgn,,81,256,222,27,55,8,1,5,22,3,1,28,28,.248,.336,.360,.696,80,7,3,0,3,0,player.fcgi?id=aoki--001nor
44,Ryuku Tsuchida,19,CNI,Fgn,,62,229,210,15,52,7,1,0,12,3,2,7,43,.248,.283,.290,.573,61,7,4,6,2,3,player.fcgi?id=tsuchi000ryu
45,Tatsuo Ebina,24,YKO,Fgn,,61,181,158,21,39,4,0,3,8,6,5,10,43,.247,.316,.329,.645,52,3,6,7,0,0,player.fcgi?id=ebina-000tat
46,Kento Itohara,29,HAN,Fgn,,132,495,445,31,110,12,1,3,36,2,3,35,48,.247,.307,.299,.606,133,7,5,6,4,1,player.fcgi?id=itohar000ken
47,Yamato Maeda,34,YKO,Fgn,,91,277,259,22,64,13,0,1,18,1,4,10,47,.247,.277,.309,.586,80,7,1,6,1,0,player.fcgi?id=maeda-001yam
48,Takuya Kinoshita,30,CNI,Fgn,,120,465,419,24,103,16,3,6,48,2,0,27,38,.246,.289,.341,.630,143,5,1,12,6,3,player.fcgi?id=kinosh000tak
49,Shota Dohbayashi,30,HIR,Fgn,,101,274,255,25,62,16,0,8,28,1,2,11,82,.243,.279,.400,.679,102,6,2,5,1,0,player.fcgi?id=dobaya000sho
50,Tetsuto Yamada,29,YKU,Fgn,,130,540,469,69,114,31,0,23,65,10,2,60,140,.243,.333,.456,.790,214,7,6,0,5,1,player.fcgi?id=yamada000tet
51,Hideki Nagaoka,20,YKU,Fgn,,139,548,511,44,123,22,0,9,48,2,3,20,72,.241,.273,.337,.610,172,10,4,10,3,1,player.fcgi?id=nagaok000hid
