Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Keita Sano,25,YKO,Fgn,,106,451,402,48,132,20,1,20,69,0,0,42,58,.328,.395,.532,.927,214,13,4,0,3,1,player.fcgi?id=sano--000kei
2,Takayuki Kajitani,31,YKO,Fgn,,109,482,433,88,140,29,1,19,53,14,8,45,85,.323,.387,.527,.913,228,4,1,1,2,3,player.fcgi?id=kajita001tak
3,Nori Aoki,38,YKU,Fgn,,107,425,357,64,113,30,1,18,51,2,1,62,51,.317,.424,.557,.981,199,6,5,0,1,2,player.fcgi?id=aoki--001nor
4,Yohei Ohshima*,34,CNI,Fgn,,118,525,462,58,146,21,3,1,30,16,8,47,51,.316,.382,.381,.763,176,5,4,9,3,3,player.fcgi?id=oshima001yoh
5,Kazuki Kamizato,26,YKO,Fgn,,80,190,169,38,52,8,1,3,17,7,1,15,42,.308,.370,.420,.790,71,3,3,1,2,0,player.fcgi?id=kamiza000kaz
6,Munetaka Murakami,20,YKU,Fgn,,120,515,424,70,130,30,2,28,86,11,5,87,115,.307,.427,.585,1.012,248,8,3,0,1,12,player.fcgi?id=muraka000mun
7,Shuhei Takahashi,26,CNI,Fgn,,108,438,394,46,120,25,1,7,46,1,1,39,70,.305,.368,.426,.794,168,13,2,0,3,6,player.fcgi?id=takaha000shu
8,Ryoma Nishikawa,25,HIR,Fgn,,76,328,296,36,90,18,0,6,32,6,1,28,52,.304,.368,.426,.794,126,6,2,2,0,1,player.fcgi?id=nishik000ryo
9,Toshiro Miyazaki,31,YKO,Fgn,,113,460,429,47,129,26,1,14,53,0,0,24,29,.301,.341,.464,.805,199,15,4,0,3,2,player.fcgi?id=miyaza000tos
10,Seiya Suzuki,25,HIR,Fgn,,118,514,430,85,129,26,2,25,75,6,4,72,73,.300,.409,.544,.953,234,15,9,0,3,9,player.fcgi?id=suzuki001sei
11,Hiroyuki Nakajima,37,YOM,Fgn,,100,312,279,19,83,13,0,7,29,0,3,31,59,.297,.369,.419,.788,117,11,1,0,1,0,player.fcgi?id=nakaji001hir
12,Zoilo Almonte,31,CNI,Fgn,,62,247,214,32,63,9,0,9,29,1,0,30,42,.294,.385,.463,.847,99,9,2,0,1,2,player.fcgi?id=almont001zoi
13,Kento Itohara,27,HAN,Fgn,,63,244,218,32,64,5,2,3,20,1,2,19,33,.294,.357,.376,.733,82,3,3,3,1,0,player.fcgi?id=itohar000ken
14,Koji Chikamoto*,25,HAN,Fgn,,120,519,474,81,139,21,5,9,45,31,8,30,61,.293,.344,.416,.759,197,4,7,7,1,2,player.fcgi?id=chikam000koj
15,Hayato Sakamoto,31,YOM,Fgn,,115,479,412,64,119,28,1,19,65,4,1,62,85,.289,.379,.500,.879,206,9,0,1,4,7,player.fcgi?id=sakamo001hay
16,Yusuke Ohyama,25,HAN,Fgn,,116,471,423,66,122,21,5,28,85,1,3,41,96,.288,.357,.560,.918,237,15,5,1,1,6,player.fcgi?id=oyama-000yus
17,Shogo Sakakura,22,HIR,Fgn,,81,228,209,24,60,15,1,3,26,1,1,17,36,.287,.346,.411,.758,86,6,2,0,0,1,player.fcgi?id=sakaku000sho
18,Tyler Austin,28,YKO,Fgn,,65,269,238,36,68,14,1,20,56,0,0,29,69,.286,.364,.605,.969,144,4,1,0,1,1,player.fcgi?id=austin001chr
19,Hisayoshi Chono,35,HIR,Fgn,,95,299,267,30,76,17,1,10,42,1,0,29,61,.285,.355,.468,.823,125,5,1,0,2,0,player.fcgi?id=chono-001his
20,Yoshihiro Maru,31,YOM,Fgn,,120,491,423,63,120,31,1,27,77,8,4,63,101,.284,.375,.553,.928,234,3,0,3,2,4,player.fcgi?id=maru--001yos
21,Yamato Maeda,32,YKO,Fgn,,85,225,199,23,56,7,1,4,23,3,3,20,28,.281,.342,.387,.729,77,8,0,3,3,0,player.fcgi?id=maeda-001yam
22,Shota Dohbayashi,28,HIR,Fgn,,111,451,401,55,112,21,0,14,58,17,4,41,91,.279,.350,.436,.787,175,12,4,3,2,2,player.fcgi?id=dobaya000sho
23,Yasutaka Shiomi,27,YKU,Fgn,,43,179,154,20,43,4,2,8,21,13,2,17,44,.279,.369,.487,.856,75,4,5,3,0,0,player.fcgi?id=shiomi000yas
24,Ryuhei Matsuyama,34,HIR,Fgn,,108,425,404,38,112,27,1,9,67,0,1,17,72,.277,.306,.416,.722,168,11,1,0,3,4,player.fcgi?id=matsuy001ryu
25,Toshihiko Kuramoto,29,YKO,Fgn,,82,216,199,19,55,4,0,1,17,0,0,16,42,.276,.333,.312,.645,62,2,1,0,0,2,player.fcgi?id=kuramo000tos
26,Kazuma Okamoto,24,YOM,Fgn,,118,500,440,79,121,26,0,31,97,2,0,55,85,.275,.362,.545,.907,240,10,5,0,0,2,player.fcgi?id=okamot002kaz
27,Takeshi Miyamoto,25,YKU,Fgn,,94,171,146,16,40,8,0,2,12,3,1,18,23,.274,.361,.370,.731,54,3,2,5,0,0,player.fcgi?id=miyamo002tak
28,Naoki Yoshikawa,25,YOM,Fgn,,112,389,354,47,97,16,2,8,32,11,3,30,60,.274,.336,.398,.734,141,6,3,2,0,4,player.fcgi?id=yoshik000nao
29,Alcides Escobar,33,YKU,Fgn,,104,402,377,27,103,14,2,1,30,6,7,13,52,.273,.312,.329,.641,124,9,9,1,2,6,player.fcgi?id=escoba001alc
30,Ryosuke Kikuchi,30,HIR,Fgn,,106,429,376,43,102,19,4,10,41,3,2,35,68,.271,.334,.423,.757,159,9,1,16,1,2,player.fcgi?id=kikuch000ryo
31,Takumi Ohshiro,27,YOM,Fgn,,93,308,274,30,74,10,1,9,41,1,0,30,82,.270,.339,.412,.751,113,1,0,1,3,6,player.fcgi?id=oshiro000tak
32,Yoshio Itoi,38,HAN,Fgn,,86,311,269,25,72,16,1,2,28,2,1,38,50,.268,.363,.357,.720,96,5,3,0,1,0,player.fcgi?id=itoi--001yos
33,Takuya Kinoshita,28,CNI,Fgn,,88,269,251,19,67,14,1,6,32,0,0,12,49,.267,.303,.402,.705,101,1,1,5,0,2,player.fcgi?id=kinosh000tak
34,Gerardo Parra*,33,YOM,Fgn,,47,154,146,14,39,3,1,4,13,0,2,8,35,.267,.305,.384,.689,56,6,0,0,0,1,player.fcgi?id=parra-001ger
35,Dayán Viciedo,31,CNI,Fgn,,109,462,409,48,109,23,0,17,82,3,2,34,48,.267,.329,.447,.776,183,17,9,0,10,3,player.fcgi?id=vicied001day
36,Tsubasa Aizawa,32,HIR,Fgn,,79,263,229,25,61,13,0,7,36,2,0,22,51,.266,.359,.415,.774,95,8,11,1,0,2,player.fcgi?id=aizawa001tsu
37,José Pirela,30,HIR,Fgn,,99,337,316,47,84,9,2,11,34,2,3,19,53,.266,.312,.411,.723,130,4,2,0,0,2,player.fcgi?id=pirela001jos
38,Tatsuhiro Shibata,26,YKO,Fgn,,110,276,233,33,62,14,0,2,20,0,0,29,50,.266,.356,.352,.708,82,1,4,9,1,3,player.fcgi?id=shibat000tat
39,Seiya Matsubara,25,YOM,Fgn,,86,313,278,42,73,11,5,3,19,12,2,29,71,.263,.330,.371,.701,103,4,0,4,2,0,player.fcgi?id=matsub000sei
40,Ryutaro Umeno,29,HAN,Fgn,,98,342,298,36,78,17,0,7,29,5,1,33,77,.262,.333,.389,.723,116,9,0,9,2,1,player.fcgi?id=umeno-001ryu
41,Minoru Ohmori,23,HIR,Fgn,,73,148,135,21,35,5,3,2,16,5,3,11,50,.259,.318,.385,.703,52,1,1,0,1,1,player.fcgi?id=omori-000min
42,Toshiki Abe,30,CNI,Fgn,,115,459,421,44,108,25,0,13,61,2,4,30,92,.257,.306,.409,.715,172,21,1,5,2,0,player.fcgi?id=abe---001tos
43,Jerry Sands,32,HAN,Fgn,,110,443,377,47,97,16,0,19,64,2,1,61,106,.257,.363,.451,.814,170,11,3,0,2,2,player.fcgi?id=sands-002ger
44,Yoshiyuki Kamei,37,YOM,Fgn,,51,156,141,21,36,7,0,2,17,0,1,11,21,.255,.310,.348,.657,49,3,1,1,2,0,player.fcgi?id=kamei-001yos
45,Tetsuto Yamada,27,YKU,Fgn,,94,384,334,52,85,17,1,12,52,8,4,48,83,.254,.346,.419,.766,140,6,0,0,2,3,player.fcgi?id=yamada000tet
46,Neftali Soto,31,YKO,Fgn,,114,480,428,59,108,18,0,25,78,0,0,44,103,.252,.323,.470,.793,201,12,3,0,5,0,player.fcgi?id=soto--001nef
47,Kosuke Tanaka,30,HIR,Fgn,,112,454,378,51,95,11,5,8,39,8,4,55,86,.251,.351,.370,.721,140,1,5,12,4,3,player.fcgi?id=tanaka000kos
48,Seiya Kinami,26,HAN,Fgn,,92,334,297,42,74,20,1,3,25,2,1,24,54,.249,.307,.354,.660,105,1,2,8,3,3,player.fcgi?id=kinami000sei
49,Yota Kyoda,26,CNI,Fgn,,120,491,442,43,109,16,7,5,29,8,4,27,80,.247,.298,.348,.647,154,4,6,15,1,4,player.fcgi?id=kyoda-000yot
50,Akihiro Wakabayashi,26,YOM,Fgn,,76,159,146,22,36,6,1,2,14,2,4,8,32,.247,.288,.342,.631,50,6,1,3,1,0,player.fcgi?id=wakaba010aki
51,Zelous Wheeler,33,YOM,Fgn,,98,288,263,26,65,9,0,12,36,3,3,22,47,.247,.309,.418,.727,110,6,2,0,1,1,player.fcgi?id=wheele001zel
52,Naomasa Yohkawa,28,HAN,Fgn,,71,182,158,19,39,6,0,8,24,2,2,15,42,.247,.333,.437,.770,69,4,6,2,1,2,player.fcgi?id=yokawa000nao
53,Nobumasa Fukuda,31,CNI,Fgn,,64,216,195,18,48,11,1,5,24,0,0,18,43,.246,.315,.390,.705,76,7,2,0,1,0,player.fcgi?id=fukuda001nob
54,José López,36,YKO,Fgn,,81,305,293,26,72,8,0,12,42,0,0,10,36,.246,.269,.396,.665,116,8,0,0,2,1,player.fcgi?id=lopez-007jos
55,Tomotaka Sakaguchi,35,YKU,Fgn,,114,458,398,55,98,14,1,9,36,4,5,47,60,.246,.334,.354,.688,141,8,7,3,3,1,player.fcgi?id=sakagu001tom
56,Naomichi Nishiura,29,YKU,Fgn,,101,310,286,24,70,10,0,10,43,4,2,16,74,.245,.288,.385,.672,110,11,2,4,2,3,player.fcgi?id=nishiu000nao
57,Kotaro Yamasaki*,26,YKU,Fgn,,109,323,282,29,69,6,1,3,23,8,9,31,70,.245,.320,.305,.625,86,5,1,7,2,0,player.fcgi?id=yamasa000kot
58,Justin Bour,32,HAN,Fgn,,99,379,329,27,80,8,0,17,45,1,1,45,88,.243,.338,.422,.760,139,13,3,0,2,5,player.fcgi?id=bour--001jus
59,Ryosuke Hirata,32,CNI,Fgn,,55,193,166,26,39,7,0,3,17,0,1,24,33,.235,.337,.331,.668,55,4,2,0,1,2,player.fcgi?id=hirata001ryo
60,Akihisa Nishida,28,YKU,Fgn,,69,215,190,20,44,5,0,7,20,0,1,20,48,.232,.313,.368,.682,70,4,3,1,1,2,player.fcgi?id=nishid000aki
61,Ryuhei Obata,19,HAN,Fgn,,54,134,127,15,28,1,2,0,7,3,1,5,37,.220,.256,.260,.515,33,1,1,1,0,1,player.fcgi?id=obata-000ryu
62,Taishi Hirooka,23,YKU,Fgn,,87,142,121,15,26,4,0,8,15,4,0,16,43,.215,.302,.446,.748,54,4,0,3,2,0,player.fcgi?id=hirook000tai
63,Yasutaka Tobashira,30,YKO,Fgn,,96,276,259,21,55,8,1,5,23,0,2,11,53,.212,.244,.309,.552,80,8,0,5,1,0,player.fcgi?id=tobash000yas
64,Masataka Iryo,30,CNI,Fgn,,79,155,135,9,27,3,0,0,12,0,0,18,24,.200,.294,.222,.516,30,4,0,2,0,0,player.fcgi?id=iryo--000mas
