Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Tyler Austin,32,YKO,Fgn,,106,445,396,66,125,34,2,25,69,0,1,45,88,.316,.382,.601,.983,238,12,0,0,4,2,player.fcgi?id=austin001chr
2,Domingo Santana,31,YKU,Fgn,,122,484,419,57,132,29,0,17,70,2,1,57,101,.315,.399,.506,.905,212,8,4,0,4,1,player.fcgi?id=santan002dom
3,Hiroki Fukunaga,27,CNI,Fgn,,111,402,363,40,111,22,2,6,32,9,3,27,82,.306,.362,.427,.789,155,4,6,4,2,1,player.fcgi?id=fukuna000hir
4,Shingo Usami,31,CNI,Fgn,,61,164,152,7,46,8,0,3,17,0,0,9,38,.303,.337,.414,.752,63,5,0,1,2,0,player.fcgi?id=usami-000shi
5,Elier Hernandez,29,YOM,Fgn,,56,240,221,34,65,11,0,8,30,0,1,15,58,.294,.346,.452,.798,100,8,3,0,1,1,player.fcgi?id=hernan003eli
6,Shugo Maki,26,YKO,Fgn,,133,561,517,76,152,33,0,23,74,11,0,37,59,.294,.346,.491,.837,254,13,5,0,2,5,player.fcgi?id=maki--000shu
7,Seiya Hosokawa,25,CNI,Fgn,,143,600,534,59,156,30,0,23,67,0,1,60,159,.292,.368,.478,.846,255,13,5,0,1,3,player.fcgi?id=hosoka000sei
8,Kouki Kajiwara,24,YKO,Fgn,,91,351,339,49,99,16,3,4,30,16,2,7,98,.292,.314,.392,.707,133,2,4,1,0,3,player.fcgi?id=kajiwa000kou
9,Yuudai Yamamoto,25,YKO,Fgn,,108,403,358,29,104,14,2,5,37,1,1,27,41,.291,.340,.383,.723,137,12,3,9,6,1,player.fcgi?id=yamamo000yud
10,Shogo Akiyama,36,HIR,Fgn,,138,587,547,60,158,20,1,4,30,6,5,29,96,.289,.328,.351,.679,192,6,5,2,4,3,player.fcgi?id=akiyam000sho
11,Hideki Nagaoka,22,YKU,Fgn,,143,611,566,63,163,25,1,6,58,4,1,29,70,.288,.324,.367,.692,208,6,3,10,3,2,player.fcgi?id=nagaok000hid
12,Naoki Yoshikawa,29,YOM,Fgn,,143,602,536,65,154,25,4,5,46,12,5,41,61,.287,.341,.377,.718,202,8,6,13,6,2,player.fcgi?id=yoshik000nao
13,Koji Chikamoto*,29,HAN,Fgn,,141,639,562,71,160,16,5,6,45,19,9,68,93,.285,.365,.363,.728,204,7,5,0,4,5,player.fcgi?id=chikam000koj
14,Toshiro Miyazaki,35,YKO,Fgn,,125,469,410,49,116,24,0,14,56,1,1,52,29,.283,.371,.444,.815,182,9,6,0,1,11,player.fcgi?id=miyaza000tos
15,Kaito Kozono,24,HIR,Fgn,,143,588,540,52,151,15,3,2,61,13,9,30,53,.280,.322,.330,.651,178,6,6,7,5,6,player.fcgi?id=kozono000kai
16,Kazuma Okamoto,28,YOM,Fgn,,143,611,535,70,150,37,0,27,83,1,1,66,97,.280,.362,.501,.863,268,5,5,0,5,10,player.fcgi?id=okamot002kaz
