Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Tomoya Mori,23,SEI,Fgn,,135,573,492,96,162,34,2,23,105,3,2,72,89,.329,.413,.547,.959,269,9,2,1,6,3,player.fcgi?id=mori--000tom
2,Masataka Yoshida,25,ORX,Fgn,,143,610,521,92,168,24,2,29,85,5,1,79,64,.322,.413,.543,.956,283,12,5,0,5,12,player.fcgi?id=yoshid002mas
3,Yurisbel Gracial,33,FKA,Fgn,,103,410,373,61,119,17,1,28,68,4,3,22,84,.319,.365,.595,.960,222,10,7,4,4,1,player.fcgi?id=gracia000yur
4,Takashi Ogino,33,LOT,Fgn,,125,569,508,76,160,35,7,10,46,28,10,40,56,.315,.371,.470,.842,239,4,8,9,4,1,player.fcgi?id=ogino-001tak
5,Stefen Romero,30,ORX,Fgn,,81,331,295,47,90,15,0,18,63,3,3,25,83,.305,.363,.539,.902,159,3,5,0,6,2,player.fcgi?id=romero003ste
6,Ginji Akaminai,31,TOH,Fgn,,141,590,529,56,161,24,1,5,56,2,5,52,58,.304,.370,.382,.752,202,19,4,4,1,2,player.fcgi?id=akamin001gin
7,Shogo Akiyama,31,SEI,Fgn,,143,678,590,112,179,31,4,20,62,12,8,78,108,.303,.392,.471,.864,278,8,9,0,1,2,player.fcgi?id=akiyam000sho
8,Kensuke Kondoh,25,NPN,Fgn,,138,600,490,74,148,32,5,2,59,1,4,103,81,.302,.422,.400,.822,196,11,2,0,5,3,player.fcgi?id=kondo-000ken
9,Taishi Ohta,29,NPN,Fgn,,132,594,557,79,161,28,1,20,77,6,2,27,111,.289,.325,.451,.776,251,22,5,0,5,4,player.fcgi?id=ota---001tai
10,Keita Nakagawa,23,ORX,Fgn,,111,396,364,39,105,21,2,3,32,9,5,25,62,.288,.334,.382,.716,139,6,1,4,2,1,player.fcgi?id=nakaga000kei
11,Haruki Nishikawa,27,NPN,Fgn,,142,651,548,88,158,26,6,5,41,19,5,93,111,.288,.393,.385,.779,211,5,2,8,0,2,player.fcgi?id=nishik000har
12,Daichi Suzuki,29,LOT,Fgn,,140,614,527,76,152,34,4,15,68,3,1,56,75,.288,.373,.454,.826,239,11,16,13,2,0,player.fcgi?id=suzuki001dai
13,Hiroaki Shimauchi*,29,TOH,Fgn,,133,585,506,68,145,21,5,10,57,3,4,58,65,.287,.372,.407,.779,206,11,11,9,1,0,player.fcgi?id=shimau002hir
14,Takeya Nakamura,35,SEI,Fgn,,135,557,496,69,142,30,0,30,123,2,1,54,123,.286,.359,.528,.887,262,12,4,0,3,5,player.fcgi?id=nakamu001tak
