Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Go Matsumoto,28,NPN,Fgn,,117,445,395,48,137,23,2,3,44,21,5,32,42,.347,.398,.438,.836,173,13,4,10,4,5,player.fcgi?id=matsum000go-
2,Masataka Yoshida,28,ORX,Fgn,,119,508,412,56,138,28,1,21,88,4,0,80,41,.335,.447,.561,1.008,231,11,9,0,7,18,player.fcgi?id=yoshid002mas
3,Takashi Ogino,36,LOT,Fgn,,89,373,326,51,101,18,4,5,27,15,3,30,30,.310,.375,.436,.811,142,7,7,5,5,0,player.fcgi?id=ogino-001tak
4,Kensuke Kondoh,28,NPN,Fgn,,99,396,325,51,98,26,1,8,41,8,7,66,45,.302,.418,.462,.879,150,7,1,1,3,6,player.fcgi?id=kondo-000ken
5,Taisei Makihara,29,FKA,Fgn,,120,441,409,45,123,18,4,6,42,13,4,16,71,.301,.331,.408,.739,167,5,4,9,3,0,player.fcgi?id=makiha000tai
6,Hiroaki Shimauchi*,32,TOH,Fgn,,142,613,541,59,161,36,3,14,77,5,3,63,82,.298,.373,.453,.826,245,16,4,2,3,1,player.fcgi?id=shimau002hir
7,Kenta Imamiya,30,FKA,Fgn,,130,510,450,56,133,30,0,7,47,3,4,37,71,.296,.352,.409,.761,184,14,3,19,1,0,player.fcgi?id=imamiy000ken
8,Daigo Kamikawabata,25,NPN,Fgn,,80,301,261,22,76,7,2,2,17,8,10,21,45,.291,.360,.356,.716,93,3,7,12,0,0,player.fcgi?id=kamika000dai
9,Keita Nakagawa,26,ORX,Fgn,,110,468,424,54,120,25,9,8,51,11,2,26,79,.283,.326,.441,.767,187,5,4,8,6,2,player.fcgi?id=nakaga000kei
10,Kenya Wakatsuki,26,ORX,Fgn,,68,193,171,16,48,7,0,4,14,3,1,9,34,.281,.326,.392,.718,67,5,3,9,1,0,player.fcgi?id=wakats000ken
11,Yuki Nomura,22,NPN,Fgn,,93,368,348,33,97,24,2,6,36,3,4,16,71,.279,.313,.411,.724,143,9,2,1,1,1,player.fcgi?id=nomura000yuk
12,Tatsuru Yanagimachi,25,FKA,Fgn,,107,364,321,21,89,14,4,0,32,3,5,38,79,.277,.357,.346,.703,111,7,2,3,0,0,player.fcgi?id=yanagi000tat
13,Yuki Yanagita,33,FKA,Fgn,,117,491,437,63,120,18,1,24,79,2,3,43,106,.275,.344,.485,.829,212,6,6,0,5,6,player.fcgi?id=yanagi000yuk
14,Akito Takabe,24,LOT,Fgn,,137,608,541,66,148,16,6,3,38,44,10,36,103,.274,.324,.342,.666,185,12,6,22,3,1,player.fcgi?id=takabe000aki
15,Yurisbel Gracial,36,FKA,Fgn,,99,386,347,24,94,13,2,7,30,1,3,33,75,.271,.339,.380,.720,132,8,4,0,2,1,player.fcgi?id=gracia000yur
16,Yuma Mune,26,ORX,Fgn,,130,537,469,55,127,23,1,5,43,4,5,45,81,.271,.341,.356,.697,167,11,8,9,6,2,player.fcgi?id=mune--000yum
17,Ryosuke Tatsumi,25,TOH,Fgn,,120,476,409,60,111,14,3,11,35,12,5,42,103,.271,.354,.401,.755,164,7,11,13,1,1,player.fcgi?id=tatsum000ryo
18,Alfredo Despaigne,36,FKA,Fgn,,89,331,297,29,80,10,0,14,40,0,0,28,80,.269,.338,.444,.783,132,5,4,0,2,1,player.fcgi?id=despai000alf
19,Shuhei Fukuda,29,ORX,Fgn,,118,502,448,65,120,11,6,0,24,9,7,32,50,.268,.328,.319,.647,143,8,8,14,0,0,player.fcgi?id=fukuda002shu
20,Ryota Yachi,31,NPN,Fgn,,78,167,153,11,41,9,0,1,12,0,1,8,24,.268,.309,.346,.655,53,3,1,5,0,0,player.fcgi?id=yachi-000ryo
21,Hiroto Kobukata,26,TOH,Fgn,,118,479,424,54,113,16,5,2,29,21,7,37,65,.267,.328,.342,.670,145,6,3,12,3,0,player.fcgi?id=kobuka000hir
22,Ukyo Shuto,26,FKA,Fgn,,80,318,288,48,77,5,4,5,15,22,4,22,56,.267,.324,.365,.688,105,4,3,3,2,0,player.fcgi?id=shuto-000uky
23,Sosuke Genda,29,SEI,Fgn,,108,456,414,39,110,8,8,2,17,12,4,30,72,.266,.317,.338,.655,140,6,1,11,0,0,player.fcgi?id=genda-000sos
24,Hotaka Yamakawa,30,SEI,Fgn,,129,528,448,62,119,17,0,41,90,0,0,68,114,.266,.375,.578,.953,259,12,11,0,1,13,player.fcgi?id=yamaka000hot
25,Takumi Kuriyama,38,SEI,Fgn,,89,267,239,20,63,14,0,3,29,0,1,23,57,.264,.326,.360,.686,86,9,1,0,4,1,player.fcgi?id=kuriya001tak
26,Hisanori Yasuda,23,LOT,Fgn,,119,440,388,33,102,23,1,9,47,1,2,45,86,.263,.343,.397,.740,154,10,4,0,3,0,player.fcgi?id=yasuda000his
27,Ryoichi Adachi,34,ORX,Fgn,,65,243,206,19,54,7,1,1,18,3,0,26,46,.262,.349,.320,.669,66,3,2,8,1,0,player.fcgi?id=adachi000ryo
28,Ginji Akaminai,34,TOH,Fgn,,83,271,238,18,62,6,0,0,26,0,0,28,31,.261,.335,.286,.620,68,5,0,2,3,2,player.fcgi?id=akamin001gin
