Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Yuki Yanagita,26,FKA,Fgn,,138,605,502,110,182,31,1,34,99,32,8,88,101,.363,.469,.631,1.101,317,9,14,0,1,4,player.fcgi?id=yanagi000yuk
2,Shogo Akiyama,27,SEI,Fgn,,143,675,602,108,216,36,10,14,55,17,17,60,78,.359,.419,.522,.941,314,6,4,7,2,2,player.fcgi?id=akiyam000sho
3,Kensuke Kondoh,21,NPN,Fgn,,129,504,435,68,142,33,2,8,60,6,2,59,59,.326,.405,.467,.872,203,9,2,3,5,2,player.fcgi?id=kondo-000ken
4,Ikuhiro Kiyota,29,LOT,Fgn,,130,548,489,67,155,38,4,15,67,10,4,54,93,.317,.387,.503,.890,246,11,3,0,2,0,player.fcgi?id=kiyota001iku
5,Akihisa Makida,33,TOH,Fgn,,82,172,151,17,47,5,1,1,14,4,3,14,14,.311,.376,.377,.754,57,7,3,2,2,0,player.fcgi?id=makida001aki
6,Masahiro Nishino,24,ORX,Fgn,,57,213,191,31,58,6,2,3,22,9,2,18,25,.304,.370,.403,.773,77,0,2,2,0,0,player.fcgi?id=nishin000mas
7,Ginji Akaminai,27,TOH,Fgn,,82,354,316,24,95,10,1,1,36,8,3,30,19,.301,.359,.348,.707,110,5,1,3,4,1,player.fcgi?id=akamin001gin
8,Akira Nakamura*,25,FKA,Fgn,,135,590,506,58,152,22,0,1,39,7,4,66,47,.300,.386,.350,.735,177,7,6,9,3,0,player.fcgi?id=nakamu000aki
9,Eiichi Koyano,34,ORX,Fgn,,56,206,183,19,54,9,0,4,22,0,1,13,22,.295,.348,.410,.758,75,7,3,5,2,1,player.fcgi?id=koyano001eii
10,Kenshi Sugiya,24,NPN,Fgn,,84,192,166,25,49,5,2,1,12,8,7,9,28,.295,.355,.367,.723,61,1,7,9,1,0,player.fcgi?id=sugiya002ken
