Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Hayato Sakamoto,27,YOM,Fgn,,137,576,488,96,168,28,3,23,75,13,3,81,67,.344,.433,.555,.988,271,6,0,1,6,2,player.fcgi?id=sakamo001hay
2,Seiya Suzuki,21,HIR,Fgn,,129,528,466,76,156,26,8,29,95,16,11,53,79,.335,.404,.612,1.015,285,10,3,3,3,1,player.fcgi?id=suzuki001sei
3,Yoshi Tsutsugo,24,YKO,Fgn,,133,561,469,89,151,28,4,44,110,0,1,87,105,.322,.430,.680,1.110,319,6,3,0,2,1,player.fcgi?id=tsutsu000yos
4,Ryosuke Kikuchi,26,HIR,Fgn,,141,640,574,92,181,22,3,13,56,13,5,40,106,.315,.358,.432,.790,248,3,0,23,3,0,player.fcgi?id=kikuch000ryo
5,Kosuke Fukudome,39,HAN,Fgn,,131,523,453,52,141,25,3,11,59,0,1,61,78,.311,.392,.453,.845,205,6,3,0,6,5,player.fcgi?id=fukudo001kos
6,Shinnosuke Abe,37,YOM,Fgn,,91,387,335,43,104,13,0,12,52,0,1,44,55,.310,.394,.457,.850,153,8,4,1,3,1,player.fcgi?id=abe---001shi
7,Tetsuto Yamada,23,YKU,Fgn,,133,590,481,102,146,26,3,38,102,30,2,97,101,.304,.425,.607,1.032,292,16,8,0,4,0,player.fcgi?id=yamada000tet
8,Shingo Kawabata,28,YKU,Fgn,,103,458,420,48,127,22,1,1,32,3,0,34,31,.302,.354,.367,.721,154,13,1,1,2,0,player.fcgi?id=kawaba001shi
9,Shuichi Murata,35,YOM,Fgn,,143,576,529,58,160,32,0,25,81,1,3,38,83,.302,.354,.505,.858,267,21,5,2,2,0,player.fcgi?id=murata001shu
10,Takahiro Arai,39,HIR,Fgn,,132,513,454,66,136,23,2,19,101,0,1,54,101,.300,.372,.485,.857,220,12,1,0,4,1,player.fcgi?id=arai--001tak
11,Fumihito Haraguchi,24,HAN,Fgn,,107,364,318,38,95,16,0,11,46,1,2,26,52,.299,.376,.453,.829,144,8,15,2,3,0,player.fcgi?id=haragu000fum
12,Yuhei Takai*,32,YKU,Fgn,,108,436,412,44,122,20,0,7,55,7,1,21,51,.296,.329,.396,.724,163,9,0,1,2,2,player.fcgi?id=takai-001yuh
13,Tsuyoshi Nishioka,31,HAN,Fgn,,55,205,190,16,56,7,1,0,15,6,1,13,25,.295,.346,.342,.688,65,5,2,0,0,1,player.fcgi?id=nishio002tsu
14,Tomotaka Sakaguchi,31,YKU,Fgn,,141,607,526,74,155,14,5,0,39,7,4,63,66,.295,.375,.340,.716,179,5,8,5,5,0,player.fcgi?id=sakagu001tom
15,Brad Eldred,35,HIR,Fgn,,95,354,316,42,93,14,0,21,53,1,0,31,86,.294,.362,.538,.900,170,8,4,0,3,0,player.fcgi?id=eldred001bra
16,Toshihiko Kuramoto,25,YKO,Fgn,,141,566,534,38,157,19,2,1,38,2,3,22,98,.294,.323,.343,.665,183,13,2,5,3,0,player.fcgi?id=kuramo000tos
17,Yohei Ohshima*,30,CNI,Fgn,,143,656,599,80,175,27,9,3,27,26,12,46,69,.292,.348,.382,.730,229,3,6,4,1,1,player.fcgi?id=oshima001yoh
18,Yoshihiro Maru,27,HIR,Fgn,,143,652,557,98,162,30,8,20,90,23,9,84,107,.291,.389,.481,.870,268,9,7,1,3,1,player.fcgi?id=maru--001yos
19,Ryuhei Matsuyama,30,HIR,Fgn,,103,275,254,34,74,10,2,10,41,0,0,20,29,.291,.342,.465,.806,118,4,0,0,1,1,player.fcgi?id=matsuy001ryu
20,Toshiro Miyazaki,27,YKO,Fgn,,101,335,302,31,88,16,0,11,36,0,0,25,30,.291,.361,.454,.815,137,12,8,0,0,0,player.fcgi?id=miyaza000tos
21,Ricardo Nanita*,35,CNI,Fgn,,92,340,319,32,91,16,0,8,35,0,1,15,52,.285,.318,.411,.728,131,9,2,0,4,0,player.fcgi?id=nanita001ric
22,Masayuki Kuwahara,22,YKO,Fgn,,133,522,462,80,131,23,2,11,49,19,11,38,93,.284,.356,.413,.769,191,5,14,8,0,0,player.fcgi?id=kuwaha000mas
23,Hisayoshi Chono,31,YOM,Fgn,,143,618,576,58,163,28,4,11,42,8,2,33,78,.283,.326,.403,.729,232,7,5,1,3,0,player.fcgi?id=chono-001his
24,Tomohiro Abe,27,HIR,Fgn,,115,291,259,23,73,12,4,6,33,7,0,19,64,.282,.327,.429,.756,111,3,1,7,5,2,player.fcgi?id=abe---000tom
25,Takahiro Imanami,31,YKU,Fgn,,94,240,201,22,56,9,3,1,28,0,1,30,25,.279,.371,.368,.739,74,3,2,3,4,0,player.fcgi?id=imanam001tak
26,Shun Takayama,23,HAN,Fgn,,134,530,494,48,136,23,5,8,65,5,4,27,109,.275,.316,.391,.707,193,8,4,2,3,1,player.fcgi?id=takaya000shu
27,Dayán Viciedo,27,CNI,Fgn,,119,471,416,63,114,22,0,22,68,1,0,44,68,.274,.352,.486,.838,202,13,8,0,3,0,player.fcgi?id=vicied001day
