Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Kensuke Kondoh,23,NPN,Fgn,,57,231,167,32,69,15,0,3,29,3,0,60,27,.413,.567,.557,1.124,93,3,2,0,2,0,player.fcgi?id=kondo-000ken
2,Shohei Ohtani,22,NPN,Fgn,,65,231,202,24,67,16,1,8,31,0,1,24,63,.332,.403,.540,.942,109,0,2,0,3,0,player.fcgi?id=otani-000sho
3,Shogo Akiyama,29,SEI,Fgn,,143,659,575,106,185,38,5,25,89,16,5,72,97,.322,.398,.536,.933,308,4,5,0,7,1,player.fcgi?id=akiyam000sho
4,Masataka Yoshida,23,ORX,Fgn,,64,268,228,42,71,11,0,12,38,1,1,38,32,.311,.410,.518,.928,118,9,1,0,1,2,player.fcgi?id=yoshid002mas
5,Yuki Yanagita,28,FKA,Fgn,,130,551,448,95,139,30,1,31,99,14,7,89,123,.310,.426,.589,1.016,264,6,7,0,7,8,player.fcgi?id=yanagi000yuk
6,Hotaka Yamakawa,25,SEI,Fgn,,78,293,242,46,72,19,0,23,61,0,1,46,72,.298,.420,.661,1.081,160,7,5,0,0,1,player.fcgi?id=yamaka000hot
7,Seiichi Uchikawa,34,FKA,Fgn,,73,300,266,31,79,13,0,12,50,0,1,32,26,.297,.370,.481,.851,128,9,0,0,2,0,player.fcgi?id=uchika001sei
8,Eigoro Mogi,23,TOH,Fgn,,103,450,398,64,118,25,2,17,47,3,2,45,84,.296,.370,.497,.867,198,4,2,4,1,1,player.fcgi?id=mogi--000eig
9,Haruki Nishikawa,25,NPN,Fgn,,138,623,541,82,160,26,6,9,44,39,5,69,103,.296,.378,.416,.794,225,6,4,6,3,0,player.fcgi?id=nishik000har
10,Kengo Takeda,23,ORX,Fgn,,97,219,207,19,61,8,0,2,14,0,0,5,47,.295,.321,.362,.683,75,3,3,4,0,0,player.fcgi?id=takeda000ken
11,Ginji Akaminai,29,TOH,Fgn,,143,590,529,55,155,30,0,3,60,2,1,56,74,.293,.362,.367,.728,194,11,2,1,2,1,player.fcgi?id=akamin001gin
12,Hideto Asamura,26,SEI,Fgn,,143,633,574,78,167,34,1,19,99,5,1,44,96,.291,.347,.453,.799,260,17,8,1,6,0,player.fcgi?id=asamur001hid
13,Chris Marrero,28,ORX,Fgn,,82,319,283,39,82,15,1,20,50,1,0,29,84,.290,.364,.562,.925,159,6,5,0,2,1,player.fcgi?id=marrer002chr
14,Hiroyuki Nakajima,34,ORX,Fgn,,124,489,431,36,123,19,0,9,49,0,0,46,93,.285,.360,.392,.752,169,11,7,0,5,0,player.fcgi?id=nakaji001hir
15,Carlos Peguero*,30,TOH,Fgn,,120,517,463,67,130,17,1,26,75,3,2,50,139,.281,.356,.490,.846,227,16,4,0,0,3,player.fcgi?id=peguer001car
16,Kenji Akashi,31,FKA,Fgn,,103,339,290,37,81,10,3,1,23,5,6,30,57,.279,.346,.345,.691,100,3,1,15,3,1,player.fcgi?id=akashi001ken
17,Eiichi Koyano,36,ORX,Fgn,,130,506,470,41,130,14,1,6,47,0,0,28,60,.277,.320,.349,.669,164,13,3,3,2,0,player.fcgi?id=koyano001eii
18,Shogo Nakamura,25,LOT,Fgn,,85,312,280,32,77,13,2,9,32,11,3,20,63,.275,.336,.432,.768,121,5,6,5,1,1,player.fcgi?id=nakamu000sho
19,Go Matsumoto,23,NPN,Fgn,,115,448,402,46,110,17,0,5,33,6,3,21,61,.274,.314,.353,.667,142,7,3,21,1,1,player.fcgi?id=matsum000go-
20,Stefen Romero,28,ORX,Fgn,,103,424,390,55,107,13,0,26,66,2,1,27,98,.274,.330,.508,.838,198,12,6,0,1,0,player.fcgi?id=romero003ste
21,Yuji Kaneko,27,SEI,Fgn,,90,320,283,43,77,17,2,5,34,25,8,27,49,.272,.333,.399,.733,113,5,1,5,4,0,player.fcgi?id=kaneko001yuj
22,Zelous Wheeler,30,TOH,Fgn,,142,605,542,75,147,27,0,31,82,7,3,50,98,.271,.342,.493,.835,267,14,10,0,3,4,player.fcgi?id=wheele001zel
23,Sosuke Genda,24,SEI,Fgn,,143,647,575,85,155,18,10,3,57,37,10,36,100,.270,.317,.351,.669,202,5,6,26,4,0,player.fcgi?id=genda-000sos
24,Akira Nakamura*,27,FKA,Fgn,,143,600,511,66,138,19,2,6,42,3,5,67,57,.270,.355,.350,.705,179,5,3,14,5,0,player.fcgi?id=nakamu000aki
25,Katsuya Kakunaka,30,LOT,Fgn,,110,452,383,44,103,17,4,8,44,6,1,62,44,.269,.375,.397,.772,152,6,4,1,2,4,player.fcgi?id=kakuna001kat
26,Shohei Katoh,26,LOT,Fgn,,98,292,271,24,72,12,5,5,27,7,4,6,44,.266,.282,.402,.684,109,2,1,12,2,0,player.fcgi?id=kato--001sho
27,Takahiro Okada*,29,ORX,Fgn,,143,593,504,77,134,19,0,31,68,2,1,83,141,.266,.374,.488,.862,246,10,5,0,1,1,player.fcgi?id=okada-001tak
28,Hiroaki Shimauchi*,27,TOH,Fgn,,143,577,494,62,131,14,3,14,47,3,6,64,67,.265,.352,.391,.743,193,8,4,12,3,0,player.fcgi?id=shimau002hir
29,Kenta Imamiya,25,FKA,Fgn,,141,623,526,78,139,27,7,14,64,15,4,38,93,.264,.317,.422,.739,222,12,4,52,3,0,player.fcgi?id=imamiy000ken
30,Nobuhiro Matsuda,34,FKA,Fgn,,143,577,531,64,140,19,6,24,71,5,2,43,128,.264,.319,.458,.777,243,16,1,0,2,2,player.fcgi?id=matsud001nob
31,Takashi Ogino,31,LOT,Fgn,,103,394,356,53,94,22,1,5,24,26,3,25,44,.264,.315,.374,.689,133,6,2,10,1,0,player.fcgi?id=ogino-001tak
32,Alfredo Despaigne,31,FKA,Fgn,,136,545,478,66,125,15,0,35,103,3,1,59,119,.262,.347,.513,.859,245,14,5,0,3,2,player.fcgi?id=despai000alf
33,Takero Okajima,27,TOH,Fgn,,111,400,342,51,89,13,5,3,32,3,2,41,65,.260,.338,.354,.692,121,6,2,10,5,0,player.fcgi?id=okajim000tak
34,Daichi Suzuki,27,LOT,Fgn,,143,588,508,56,132,27,5,11,52,6,5,55,85,.260,.350,.398,.748,202,7,18,3,4,1,player.fcgi?id=suzuki001dai
35,Seiji Uebayashi,21,FKA,Fgn,,134,453,415,54,108,23,5,13,51,12,12,24,96,.260,.302,.434,.736,180,3,2,10,2,2,player.fcgi?id=uebaya000sei
36,Taishi Ohta,27,NPN,Fgn,,118,457,427,41,110,21,1,15,46,5,2,28,88,.258,.302,.417,.719,178,14,0,0,2,0,player.fcgi?id=ota---001tai
37,Shuta Tonosaki,24,SEI,Fgn,,135,489,438,65,113,22,3,10,48,23,3,33,109,.258,.315,.390,.706,171,4,5,10,3,0,player.fcgi?id=tonosa000shu
38,Kazuya Fujita,34,TOH,Fgn,,102,315,270,28,68,9,2,3,33,2,1,16,21,.252,.293,.333,.626,90,8,1,25,3,1,player.fcgi?id=fujita001kaz
39,Takumi Kuriyama,33,SEI,Fgn,,116,374,333,28,84,13,0,9,46,0,0,27,64,.252,.308,.372,.680,124,10,3,4,7,0,player.fcgi?id=kuriya001tak
40,Kensuke Tanaka,36,NPN,Fgn,,107,349,314,22,79,6,1,2,18,11,4,35,36,.252,.327,.296,.623,93,4,0,0,0,1,player.fcgi?id=tanaka001ken
41,Ginjiro Sumitani,29,SEI,Fgn,,104,310,267,32,67,11,0,5,30,2,1,8,45,.251,.289,.348,.638,93,6,8,23,4,0,player.fcgi?id=sumita001gin
42,Ryo Hijirisawa,31,TOH,Fgn,,111,252,232,29,58,14,2,1,21,2,1,13,50,.250,.300,.341,.641,79,2,4,2,1,0,player.fcgi?id=hijiri001ryo
43,Roel Santos*,29,LOT,Fgn,,66,193,180,22,45,10,0,3,8,5,4,7,46,.250,.282,.356,.637,64,2,1,5,0,0,player.fcgi?id=santos000roe
44,Tatsuhiro Tamura,23,LOT,Fgn,,132,359,311,31,77,12,3,3,36,4,2,26,68,.248,.304,.334,.638,104,7,1,17,4,0,player.fcgi?id=tamura000tat
45,Koji Ohshiro,24,ORX,Fgn,,122,400,345,28,85,10,1,2,21,7,4,16,59,.246,.285,.299,.583,103,6,3,35,1,0,player.fcgi?id=oshiro000koj
46,Ryo Miki,25,LOT,Fgn,,85,229,207,18,50,9,0,2,19,0,1,8,55,.242,.277,.314,.591,65,1,3,9,2,0,player.fcgi?id=miki--000ryo
47,Wily Mo Peña,35,LOT,Fgn,,70,252,219,24,53,14,0,15,38,0,0,26,72,.242,.333,.511,.845,112,8,5,0,2,0,player.fcgi?id=pena--002wil
48,Ernesto Mejia,31,SEI,Fgn,,113,388,345,34,83,18,0,19,53,1,0,37,100,.241,.320,.458,.778,158,7,4,0,2,0,player.fcgi?id=mejia-001ern
49,Shunta Gotoh,24,ORX,Fgn,,129,329,296,29,71,16,7,2,27,4,3,15,76,.240,.275,.361,.637,107,3,1,13,4,1,player.fcgi?id=goto--000shu
50,Japhet Amador,30,TOH,Fgn,,121,460,417,35,99,9,0,23,65,0,1,39,102,.237,.304,.424,.729,177,18,2,0,2,0,player.fcgi?id=amador001jap
51,Masahiro Nishino,26,ORX,Fgn,,100,331,282,33,66,11,2,2,21,8,4,24,46,.234,.305,.309,.613,87,4,6,16,3,0,player.fcgi?id=nishin000mas
52,Takuya Kai,24,FKA,Fgn,,103,257,207,30,48,8,3,5,18,4,0,26,68,.232,.323,.372,.695,77,2,2,22,0,1,player.fcgi?id=kai---000tak
53,Brandon Laird,29,NPN,Fgn,,137,571,503,56,115,18,1,32,90,0,0,54,125,.229,.308,.459,.767,231,18,7,0,7,0,player.fcgi?id=laird-001bra
54,Masatoshi Okada,28,SEI,Fgn,,68,172,144,19,33,6,1,0,9,0,0,10,28,.229,.306,.285,.591,41,1,6,12,0,1,player.fcgi?id=okada-000mas
55,Shota Ohno,30,NPN,Fgn,,83,183,154,13,34,5,0,3,13,0,1,16,30,.221,.309,.312,.620,48,1,4,8,1,0,player.fcgi?id=ono---001sho
56,Jimmy Paredes,28,LOT,Fgn,,89,289,269,31,59,9,0,10,26,1,0,16,97,.219,.270,.364,.634,98,5,3,0,1,0,player.fcgi?id=parede001jim
57,Takeya Nakamura,33,SEI,Fgn,,115,486,415,69,90,14,0,27,79,1,0,61,118,.217,.319,.446,.765,185,12,4,0,6,1,player.fcgi?id=nakamu001tak
58,Sho Nakata,28,NPN,Fgn,,129,542,472,56,102,23,0,16,67,0,1,61,103,.216,.310,.367,.676,173,14,5,0,4,0,player.fcgi?id=nakata001sho
59,Shuhei Kojima,30,ORX,Fgn,,61,182,164,17,35,5,2,2,19,3,0,7,21,.213,.243,.305,.548,50,4,0,9,2,0,player.fcgi?id=kojima000shu
60,Takuya Nakashima,26,NPN,Fgn,,91,331,283,26,59,1,2,1,13,11,3,23,80,.208,.268,.237,.505,67,2,0,25,0,0,player.fcgi?id=nakash000tak
61,Shota Omine,25,LOT,Fgn,,91,240,214,15,44,9,2,5,23,1,0,14,56,.206,.255,.336,.592,72,1,1,9,2,0,player.fcgi?id=omine-000sho
62,Hiroaki Takaya,35,FKA,Fgn,,92,195,175,9,36,4,0,1,20,0,1,12,30,.206,.258,.246,.504,43,1,1,5,2,0,player.fcgi?id=takaya001hir
63,Kazunari Ishii,23,NPN,Fgn,,114,361,317,33,65,8,2,3,24,3,5,28,113,.205,.271,.271,.542,86,6,1,14,1,0,player.fcgi?id=ishii-002kaz
64,Ryoichi Adachi,29,ORX,Fgn,,109,380,316,40,64,9,3,3,26,4,3,37,61,.203,.306,.278,.584,88,5,10,17,0,0,player.fcgi?id=adachi000ryo
65,Ikuhiro Kiyota,31,LOT,Fgn,,79,263,231,28,47,8,1,3,21,3,0,24,61,.203,.287,.286,.573,66,8,3,5,0,0,player.fcgi?id=kiyota001iku
66,Kenya Wakatsuki,21,ORX,Fgn,,100,256,218,16,44,8,2,1,18,0,0,10,50,.202,.245,.271,.515,59,9,3,23,2,0,player.fcgi?id=wakats000ken
67,Matt Duffy,28,LOT,Fgn,,54,183,164,15,33,8,1,6,18,0,0,14,61,.201,.279,.372,.651,61,2,4,0,1,0,player.fcgi?id=duffy-000mat
68,Fumikazu Kimura,28,SEI,Fgn,,105,203,184,26,37,5,1,2,13,7,4,13,53,.201,.256,.272,.528,50,5,1,4,1,0,player.fcgi?id=kimura001fum
69,Motohiro Shima,32,TOH,Fgn,,112,369,281,34,56,9,0,3,28,2,1,57,62,.199,.339,.263,.603,74,8,3,27,1,0,player.fcgi?id=shima-001mot
70,Hikaru Itoh,28,ORX,Fgn,,103,239,196,21,37,9,2,5,23,0,0,18,47,.189,.263,.332,.594,65,2,2,22,1,1,player.fcgi?id=ito---001hik
