Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Yuki Yanagita,29,FKA,Fgn,,130,550,475,95,167,29,5,36,102,21,7,62,105,.352,.431,.661,1.092,314,8,8,0,5,4,player.fcgi?id=yanagi000yuk
2,Shogo Akiyama,30,SEI,Fgn,,143,685,603,107,195,39,8,24,82,15,10,77,96,.323,.403,.534,.937,322,3,4,0,1,4,player.fcgi?id=akiyam000sho
3,Kensuke Kondoh,24,NPN,Fgn,,129,555,462,59,149,29,3,9,69,5,0,87,90,.323,.427,.457,.884,211,16,1,0,5,8,player.fcgi?id=kondo-000ken
4,Masataka Yoshida,24,ORX,Fgn,,143,598,514,77,165,37,2,26,86,3,1,69,74,.321,.403,.553,.956,284,9,7,0,8,10,player.fcgi?id=yoshid002mas
5,Taisei Makihara,25,FKA,Fgn,,59,264,249,32,79,12,4,3,26,9,3,8,33,.317,.341,.434,.775,108,2,2,3,2,0,player.fcgi?id=makiha000tai
6,Hideto Asamura,27,SEI,Fgn,,143,640,565,104,175,27,0,32,127,4,2,68,105,.310,.383,.527,.910,298,18,2,0,5,4,player.fcgi?id=asamur001hid
7,Masahiro Nishino,27,ORX,Fgn,,60,207,188,21,55,8,4,0,16,7,3,12,28,.293,.333,.378,.711,71,5,0,6,1,1,player.fcgi?id=nishin000mas
8,Yurisbel Gracial,32,FKA,Fgn,,54,202,185,29,54,6,1,9,30,1,0,15,34,.292,.347,.481,.828,89,8,1,0,1,0,player.fcgi?id=gracia000yur
9,Seiya Inoue,28,LOT,Fgn,,133,548,476,59,139,26,2,24,99,1,0,63,106,.292,.374,.506,.880,241,7,3,0,6,0,player.fcgi?id=inoue-000sei
10,Akira Nakamura*,28,FKA,Fgn,,136,580,506,57,148,28,1,14,57,1,1,60,68,.292,.369,.435,.804,220,5,5,3,6,4,player.fcgi?id=nakamu000aki
11,Hiroaki Shimauchi*,28,TOH,Fgn,,103,453,394,53,115,16,3,11,53,11,5,47,45,.292,.373,.431,.805,170,10,6,3,3,0,player.fcgi?id=shimau002hir
12,Hiroyuki Nakajima,35,ORX,Fgn,,77,251,225,13,65,7,0,5,34,0,0,21,38,.289,.356,.387,.743,87,8,3,1,1,2,player.fcgi?id=nakaji001hir
13,Yuya Oda,28,ORX,Fgn,,90,164,143,25,41,5,1,2,15,10,2,12,38,.287,.348,.378,.725,54,4,3,3,3,0,player.fcgi?id=oda---000yuy
14,Takashi Ogino,32,LOT,Fgn,,78,351,317,52,91,15,3,2,25,20,6,13,25,.287,.330,.372,.703,118,6,9,9,3,0,player.fcgi?id=ogino-001tak
15,Shuta Tonosaki,25,SEI,Fgn,,119,510,453,70,130,24,3,18,67,25,9,47,102,.287,.357,.472,.830,214,9,3,6,1,0,player.fcgi?id=tonosa000shu
16,Shogo Nakamura,26,LOT,Fgn,,143,639,552,82,157,30,3,8,57,39,15,60,94,.284,.374,.393,.767,217,11,22,0,5,2,player.fcgi?id=nakamu000sho
