Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Toshiro Miyazaki,34,YKO,Fgn,,124,461,408,47,133,27,0,20,71,1,0,41,43,.326,.395,.539,.934,220,14,8,0,4,6,player.fcgi?id=miyaza000tos
2,Ryoma Nishikawa,28,HIR,Fgn,,109,443,416,48,127,20,1,9,56,7,6,21,52,.305,.337,.423,.760,176,10,1,1,4,4,player.fcgi?id=nishik000ryo
3,Yasutaka Shiomi,30,YKU,Fgn,,51,209,186,33,56,9,2,8,31,1,2,19,40,.301,.373,.500,.873,93,3,3,0,1,1,player.fcgi?id=shiomi000yas
4,Domingo Santana,30,YKU,Fgn,,136,516,467,52,140,32,0,18,66,2,0,44,114,.300,.360,.484,.844,226,17,2,0,3,1,player.fcgi?id=santan002dom
5,Shugo Maki,25,YKO,Fgn,,143,605,559,78,164,39,3,29,103,2,2,33,85,.293,.337,.530,.867,296,17,7,0,6,3,player.fcgi?id=maki--000shu
6,Yohei Ohshima*,37,CNI,Fgn,,130,494,470,34,136,17,2,0,23,6,1,15,43,.289,.316,.334,.650,157,7,5,1,3,1,player.fcgi?id=oshima001yoh
7,Yusuke Ohyama,28,HAN,Fgn,,143,625,513,80,148,29,0,19,78,3,3,99,120,.288,.403,.456,.859,234,13,5,0,8,5,player.fcgi?id=oyama-000yus
8,Hayato Sakamoto,34,YOM,Fgn,,116,455,403,46,116,29,0,22,60,2,0,45,84,.288,.361,.524,.884,211,5,2,3,2,3,player.fcgi?id=sakamo001hay
9,Kaito Kozono,23,HIR,Fgn,,80,306,290,25,83,11,7,6,31,8,4,10,38,.286,.315,.434,.749,126,7,2,4,0,1,player.fcgi?id=kozono000kai
10,Takayoshi Noma,30,HIR,Fgn,,108,418,371,37,106,11,1,0,26,5,6,33,51,.286,.351,.321,.672,119,10,5,8,1,0,player.fcgi?id=noma--000tak
11,Koji Chikamoto*,28,HAN,Fgn,,129,585,501,83,143,24,12,8,54,28,3,67,71,.285,.379,.429,.809,215,6,12,0,5,2,player.fcgi?id=chikam000koj
12,Takumu Nakano,27,HAN,Fgn,,143,660,575,80,164,17,5,2,40,20,12,57,107,.285,.349,.343,.692,197,5,2,21,5,2,player.fcgi?id=nakano004tak
13,Shingo Usami,30,CNI,Fgn,,69,226,206,12,58,6,0,3,14,0,0,17,47,.282,.339,.354,.694,73,4,1,2,0,1,player.fcgi?id=usami-000shi
14,Takumi Ohshiro,30,YOM,Fgn,,134,490,424,50,119,20,1,16,55,0,0,36,109,.281,.341,.446,.787,189,12,5,21,4,3,player.fcgi?id=oshiro000tak
15,Yuki Okabayashi,21,CNI,Fgn,,143,633,584,61,163,21,10,3,31,12,8,39,89,.279,.324,.365,.688,213,11,0,9,1,1,player.fcgi?id=okabay000yuk
16,Kazuma Okamoto,27,YOM,Fgn,,140,589,503,83,140,31,0,41,93,0,1,72,111,.278,.374,.584,.958,294,10,8,0,6,10,player.fcgi?id=okamot002kaz
17,Yuudai Yamamoto,24,YKO,Fgn,,71,200,173,18,48,7,1,3,16,0,0,18,26,.277,.347,.382,.729,66,3,1,7,1,1,player.fcgi?id=yamamo000yud
18,Takayuki Kajitani,34,YOM,Fgn,,102,291,265,26,73,8,0,2,19,2,2,17,45,.275,.326,.328,.655,87,2,3,6,0,0,player.fcgi?id=kajita001tak
19,Shogo Akiyama,35,HIR,Fgn,,115,483,434,48,119,20,6,4,38,8,3,35,81,.274,.333,.376,.709,163,12,4,9,1,3,player.fcgi?id=akiyam000sho
20,Yuto Akihiro,20,YOM,Fgn,,121,439,406,36,111,18,2,10,41,0,1,26,79,.273,.318,.401,.720,163,9,2,2,3,2,player.fcgi?id=akihir000yut
21,Shota Dohbayashi,31,HIR,Fgn,,100,284,260,29,71,13,0,12,35,1,6,19,72,.273,.323,.462,.784,120,7,0,5,0,3,player.fcgi?id=dobaya000sho
22,Seiya Kinami,29,HAN,Fgn,,127,470,408,41,109,22,1,1,41,0,0,31,103,.267,.320,.333,.653,136,13,4,20,7,12,player.fcgi?id=kinami000sei
23,Shogo Sakakura,25,HIR,Fgn,,120,448,395,48,105,19,1,12,44,3,0,47,67,.266,.347,.410,.757,162,9,3,1,2,6,player.fcgi?id=sakaku000sho
24,Keita Sano,28,YKO,Fgn,,141,613,560,67,148,26,2,13,65,0,2,46,77,.264,.323,.388,.711,217,9,4,0,3,4,player.fcgi?id=sano--000kei
25,Makoto Kadowaki,22,YOM,Fgn,,126,348,316,34,83,12,1,3,21,11,5,18,58,.263,.302,.335,.638,106,4,0,14,0,3,player.fcgi?id=kadowa000mak
26,Teruaki Sato,24,HAN,Fgn,,132,548,486,70,128,30,6,24,92,7,5,54,139,.263,.339,.498,.837,242,4,4,0,4,5,player.fcgi?id=sato--000ter
27,Taiki Sekine*,28,YKO,Fgn,,140,532,482,69,126,17,3,4,31,11,3,29,53,.261,.308,.334,.642,161,5,4,16,1,1,player.fcgi?id=sekine000tai
28,Hisayoshi Chono,38,YOM,Fgn,,75,176,158,15,41,7,1,6,19,1,1,17,40,.259,.330,.430,.760,68,2,0,0,1,4,player.fcgi?id=chono-001his
