Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Kensuke Kondoh,30,FKA,Fgn,,129,535,436,66,137,29,2,19,72,11,1,92,76,.314,.439,.521,.960,227,10,6,0,1,11,player.fcgi?id=kondo-000ken
2,Kotaro Kiyomiya,25,NPN,Fgn,,89,329,290,43,87,18,1,15,51,1,3,31,62,.300,.374,.524,.898,152,5,5,0,3,3,player.fcgi?id=kiyomi010kot
3,Masahiro Nishino,33,ORX,Fgn,,89,312,280,27,84,6,3,1,13,3,1,22,26,.300,.352,.354,.706,99,3,1,8,1,0,player.fcgi?id=nishin000mas
4,Akito Takabe,26,LOT,Fgn,,76,287,260,37,78,12,3,1,23,10,4,19,43,.300,.348,.381,.728,99,3,1,5,2,2,player.fcgi?id=takabe000aki
5,Ryosuke Tatsumi,27,TOH,Fgn,,143,597,537,68,158,22,12,7,58,20,2,44,108,.294,.353,.419,.772,225,10,8,2,6,2,player.fcgi?id=tatsum000ryo
6,Kyota Fujiwara*,24,LOT,Fgn,,74,264,231,30,67,8,4,2,21,4,1,25,39,.290,.364,.385,.749,89,2,3,3,2,0,player.fcgi?id=fujiwa000kyo
7,Franmil Reyes,28,NPN,Fgn,,103,368,335,39,97,15,1,25,65,0,0,31,90,.290,.348,.564,.912,189,9,0,0,2,4,player.fcgi?id=reyes-003fra
8,Ryo Ohta,23,ORX,Fgn,,91,369,333,39,96,16,3,6,40,4,3,27,66,.288,.340,.408,.748,136,10,1,4,4,0,player.fcgi?id=ota---000ryo
9,Shun Mizutani,23,NPN,Fgn,,97,353,327,41,94,18,3,9,39,4,1,21,79,.287,.335,.443,.779,145,3,3,1,1,2,player.fcgi?id=mizuta000shu
10,Hiromi Oka,32,LOT,Fgn,,103,420,362,52,104,28,2,7,33,11,3,44,64,.287,.373,.434,.806,157,9,7,4,3,6,player.fcgi?id=oka---000hir
11,Yuki Yanagita,35,FKA,Fgn,,52,225,185,31,53,7,1,4,35,3,0,35,36,.286,.404,.400,.804,74,2,3,0,2,3,player.fcgi?id=yanagi000yuk
12,Taisei Makihara,31,FKA,Fgn,,78,259,240,26,68,7,4,2,13,6,4,8,41,.283,.308,.371,.679,89,2,1,9,1,0,player.fcgi?id=makiha000tai
13,Tomoya Mori,28,ORX,Fgn,,117,457,395,46,111,24,1,9,46,6,1,50,61,.281,.368,.415,.783,164,4,7,0,5,2,player.fcgi?id=mori--000tom
14,Katsuya Kakunaka,37,LOT,Fgn,,84,217,189,21,53,12,2,3,20,0,0,24,37,.280,.361,.413,.774,78,4,1,1,2,1,player.fcgi?id=kakuna001kat
15,Takashi Ogino,38,LOT,Fgn,,80,213,197,25,55,6,1,1,15,0,0,10,15,.279,.321,.335,.656,66,6,2,4,0,1,player.fcgi?id=ogino-001tak
16,Toshiya Satoh,26,LOT,Fgn,,116,452,410,41,114,20,0,5,45,4,1,29,51,.278,.326,.363,.689,149,10,3,4,6,2,player.fcgi?id=satoh-000tos
17,Yua Tamiya,24,NPN,Fgn,,109,349,307,28,85,12,2,3,30,10,4,21,71,.277,.334,.358,.693,110,10,7,11,3,1,player.fcgi?id=tamiya000yua
18,Ryoya Kurihara,27,FKA,Fgn,,140,598,527,74,144,40,2,20,87,2,1,49,99,.273,.337,.471,.807,248,10,5,10,7,1,player.fcgi?id=kuriha000ryo
19,Tomoya Masaki,24,FKA,Fgn,,80,282,263,21,71,21,0,7,29,1,0,11,65,.270,.310,.430,.739,113,4,5,1,2,0,player.fcgi?id=masaki000tom
20,Ukyo Shuto,28,FKA,Fgn,,123,477,428,63,115,15,5,2,26,41,13,26,90,.269,.323,.341,.664,146,4,10,10,3,0,player.fcgi?id=shuto-000uky
21,Neftali Soto,35,LOT,Fgn,,132,542,491,43,132,22,2,21,88,0,0,42,136,.269,.330,.450,.780,221,19,5,0,4,2,player.fcgi?id=soto--001nef
22,Tatsuru Yanagimachi,27,FKA,Fgn,,73,237,216,26,58,11,5,4,40,1,0,14,65,.269,.313,.421,.735,91,4,1,4,2,0,player.fcgi?id=yanagi000tat
23,Daichi Suzuki,34,TOH,Fgn,,123,460,406,41,108,11,5,4,41,0,0,23,43,.266,.324,.347,.671,141,4,13,15,3,0,player.fcgi?id=suzuki001dai
24,Sosuke Genda,31,SEI,Fgn,,143,577,522,41,138,15,7,3,21,12,4,32,75,.264,.307,.337,.644,176,4,1,20,2,2,player.fcgi?id=genda-000sos
25,Kenta Imamiya,32,FKA,Fgn,,133,538,462,60,121,25,4,6,39,1,0,46,87,.262,.331,.372,.704,172,9,3,25,2,2,player.fcgi?id=imamiy000ken
