Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Dayán Viciedo,29,CNI,Fgn,,135,582,512,91,178,26,1,26,99,3,4,51,61,.348,.419,.555,.974,284,24,15,0,4,4,player.fcgi?id=vicied001day
2,Hayato Sakamoto,29,YOM,Fgn,,109,502,441,87,152,27,2,18,67,9,5,61,83,.345,.424,.537,.962,237,4,0,0,0,10,player.fcgi?id=sakamo001hay
3,Ryosuke Hirata,30,CNI,Fgn,,138,568,493,83,162,26,5,9,55,8,7,67,69,.329,.410,.456,.866,225,7,3,2,3,4,player.fcgi?id=hirata001ryo
4,Nori Aoki,36,YKU,Fgn,,127,567,495,85,162,37,3,10,67,3,4,51,48,.327,.409,.475,.884,235,13,19,0,2,1,player.fcgi?id=aoki--001nor
5,Fumiya Hojoh,23,HAN,Fgn,,62,266,239,34,77,8,1,1,20,1,0,19,32,.322,.370,.377,.747,90,7,1,4,3,0,player.fcgi?id=hojo--000fum
6,Zoilo Almonte,29,CNI,Fgn,,132,546,498,56,160,37,0,15,77,1,1,44,95,.321,.375,.486,.861,242,16,1,0,3,1,player.fcgi?id=almont001zoi
7,Seiya Suzuki,23,HIR,Fgn,,124,520,422,86,135,32,2,30,94,4,4,88,116,.320,.438,.618,1.057,261,4,5,0,5,2,player.fcgi?id=suzuki001sei
8,Toshiro Miyazaki,29,YKO,Fgn,,142,590,551,71,175,34,0,28,71,0,0,38,45,.318,.363,.532,.894,293,16,1,0,0,3,player.fcgi?id=miyaza000tos
9,Yuhei Takai*,34,YKU,Fgn,,125,482,446,50,142,19,1,11,67,6,1,33,62,.318,.365,.439,.805,196,13,1,0,2,5,player.fcgi?id=takai-001yuh
10,Tomotaka Sakaguchi,33,YKU,Fgn,,139,595,508,64,161,22,4,3,37,9,7,75,60,.317,.406,.394,.800,200,15,3,7,2,5,player.fcgi?id=sakagu001tom
11,Tetsuto Yamada,25,YKU,Fgn,,140,637,524,130,165,30,4,34,89,33,4,106,119,.315,.432,.582,1.014,305,8,4,0,3,5,player.fcgi?id=yamada000tet
12,Neftali Soto,29,YKO,Fgn,,107,459,416,74,129,16,0,41,95,0,1,29,100,.310,.364,.644,1.008,268,5,9,0,5,2,player.fcgi?id=soto--001nef
13,Ryoma Nishikawa,23,HIR,Fgn,,107,361,327,44,101,22,3,6,46,5,3,27,51,.309,.364,.450,.814,147,4,2,4,1,3,player.fcgi?id=nishik000ryo
14,Kazuma Okamoto,22,YOM,Fgn,,143,616,540,82,167,26,0,33,100,2,1,72,120,.309,.394,.541,.935,292,11,4,0,0,1,player.fcgi?id=okamot002kaz
