Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
37,Jefry Marte,30,HAN,Fgn,,128,526,446,55,115,18,1,22,71,0,0,74,72,.258,.367,.451,.818,201,16,4,0,2,3,player.fcgi?id=marte-001jef
38,José Osuna,28,YKU,Fgn,,120,495,469,42,121,24,2,13,60,3,0,22,80,.258,.293,.401,.694,188,18,2,0,2,2,player.fcgi?id=ozuna-001jos
39,Yota Kyoda,27,CNI,Fgn,,113,448,409,41,105,7,4,3,24,6,5,21,75,.257,.302,.315,.618,129,5,7,8,3,0,player.fcgi?id=kyoda-000yot
40,Tsubasa Aizawa,33,HIR,Fgn,,70,204,180,18,46,10,0,3,22,0,0,16,33,.256,.325,.361,.686,65,8,4,1,3,2,player.fcgi?id=aizawa001tsu
41,Hiyu Motoyama,22,YKU,Fgn,,97,235,208,20,53,1,3,3,17,2,1,17,42,.255,.322,.332,.653,69,7,4,5,1,3,player.fcgi?id=motoya000hiy
42,Tomohiro Abe,32,HIR,Fgn,,85,170,151,8,38,5,0,1,12,2,1,15,47,.252,.320,.305,.624,46,2,1,1,2,2,player.fcgi?id=abe---000tom
43,Yamato Maeda,33,YKO,Fgn,,106,294,270,18,68,13,0,2,26,1,2,19,44,.252,.300,.322,.622,87,7,0,4,1,3,player.fcgi?id=maeda-001yam
44,Jerry Sands,33,HAN,Fgn,,120,461,408,47,101,21,1,20,65,1,1,49,89,.248,.328,.451,.779,184,11,1,0,3,5,player.fcgi?id=sands-002ger
45,Kotaro Yamasaki*,27,YKU,Fgn,,114,245,215,41,53,10,3,1,12,8,2,19,53,.247,.311,.335,.646,72,0,1,10,0,0,player.fcgi?id=yamasa000kot
46,Nobumasa Fukuda,32,CNI,Fgn,,110,305,279,21,68,21,2,8,28,1,2,22,49,.244,.305,.419,.724,117,6,3,0,1,0,player.fcgi?id=fukuda001nob
47,Akihiro Wakabayashi,27,YOM,Fgn,,96,242,213,25,51,11,0,5,16,1,3,22,46,.239,.314,.362,.675,77,1,2,3,2,0,player.fcgi?id=wakaba010aki
48,Teruaki Sato,22,HAN,Fgn,,126,455,425,56,101,25,0,24,64,6,2,25,173,.238,.284,.466,.749,198,2,3,0,2,4,player.fcgi?id=sato--000ter
49,Tatsuhiro Shibata,27,YKO,Fgn,,85,266,222,21,52,15,0,2,15,1,1,26,39,.234,.313,.329,.642,73,1,1,14,3,1,player.fcgi?id=shibat000tat
50,Neftali Soto,32,YKO,Fgn,,123,451,410,42,96,18,1,21,62,0,1,35,116,.234,.302,.437,.738,179,12,5,0,1,4,player.fcgi?id=soto--001nef
51,Takumi Ohshiro,28,YOM,Fgn,,125,386,347,36,80,12,0,11,37,0,0,33,80,.231,.300,.360,.660,125,11,2,3,1,4,player.fcgi?id=oshiro000tak
52,Ryutaro Umeno,30,HAN,Fgn,,130,458,404,33,91,15,3,3,33,8,4,41,107,.225,.303,.300,.603,121,14,5,6,2,3,player.fcgi?id=umeno-001ryu
53,Naomichi Nishiura,30,YKU,Fgn,,92,276,242,27,54,9,0,5,24,1,1,24,60,.223,.298,.322,.620,78,8,3,4,3,3,player.fcgi?id=nishiu000nao
54,Naomichi Donoue,32,CNI,Fgn,,75,234,219,15,48,10,0,5,25,1,0,9,42,.219,.248,.333,.581,73,12,0,4,2,0,player.fcgi?id=donoue001nao
55,Kosuke Fukudome,44,CNI,Fgn,,91,216,193,17,42,12,0,4,18,0,0,23,56,.218,.301,.342,.643,66,5,0,0,0,1,player.fcgi?id=fukudo001kos
56,Mel Rojas,31,HAN,Fgn,,60,206,189,18,41,7,0,8,21,1,3,15,58,.217,.282,.381,.663,72,3,2,0,0,0,player.fcgi?id=rojas-002mel
57,Yoshiyuki Kamei,38,YOM,Fgn,,92,206,186,15,40,12,1,3,17,1,1,13,47,.215,.270,.339,.608,63,3,2,2,3,1,player.fcgi?id=kamei-001yos
58,Hikaru Itoh,32,YKO,Fgn,,53,192,160,14,34,6,0,2,13,1,1,17,43,.213,.294,.288,.582,46,3,2,12,1,0,player.fcgi?id=ito---001hik
59,Toshiki Abe,31,CNI,Fgn,,66,240,215,18,45,10,0,5,16,0,1,19,36,.209,.271,.326,.597,70,8,0,4,2,0,player.fcgi?id=abe---001tos
60,Akira Neo,21,CNI,Fgn,,72,188,169,12,30,4,1,1,16,0,3,15,53,.178,.251,.231,.482,39,2,2,1,1,0,player.fcgi?id=neo---000aki
