Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Yuma Tongu,26,ORX,Fgn,,113,451,401,49,123,23,0,16,49,0,0,41,69,.307,.378,.484,.862,194,11,6,1,2,0,player.fcgi?id=tongu-000yum
2,Kensuke Kondoh,29,FKA,Fgn,,143,613,492,75,149,33,0,26,87,3,4,109,117,.303,.431,.528,.959,260,7,6,0,6,7,player.fcgi?id=kondo-000ken
3,Yuki Yanagita,34,FKA,Fgn,,143,625,546,57,163,29,3,22,85,1,0,64,97,.299,.378,.484,.861,264,9,9,0,6,1,player.fcgi?id=yanagi000yuk
4,Katsuya Kakunaka,36,LOT,Fgn,,86,244,216,20,64,16,1,9,39,1,0,21,43,.296,.357,.505,.861,109,0,1,3,3,2,player.fcgi?id=kakuna001kat
5,Tomoya Mori,27,ORX,Fgn,,110,453,384,49,113,24,2,18,64,4,1,54,61,.294,.385,.508,.893,195,9,7,1,7,4,player.fcgi?id=mori--000tom
6,Kenta Chatani,25,LOT,Fgn,,79,187,169,18,48,6,1,0,9,2,0,11,26,.284,.333,.331,.665,56,2,2,4,1,0,player.fcgi?id=chatan000ken
7,Hiromi Oka,31,LOT,Fgn,,109,372,319,50,90,16,3,7,33,15,4,37,56,.282,.371,.417,.788,133,5,8,8,0,0,player.fcgi?id=oka---000hir
8,Sho Gibo,22,ORX,Fgn,,62,162,147,14,41,5,0,0,9,1,2,6,25,.279,.310,.313,.623,46,4,1,7,1,0,player.fcgi?id=gibo--000sho
9,Yudai Fujioka,29,LOT,Fgn,,93,380,310,34,86,20,0,1,22,7,2,54,66,.277,.389,.352,.741,109,4,4,10,2,1,player.fcgi?id=fujiok000yud
10,Go Matsumoto,29,NPN,Fgn,,134,561,507,51,140,16,2,3,30,12,12,37,57,.276,.332,.333,.665,169,11,7,7,3,3,player.fcgi?id=matsum000go-
11,Kotaro Kurebayashi,21,ORX,Fgn,,127,482,443,37,122,19,1,8,39,4,6,28,63,.275,.318,.377,.695,167,19,1,7,3,0,player.fcgi?id=kureba000kot
12,Hideto Asamura,32,TOH,Fgn,,143,601,522,64,143,20,0,26,78,2,1,75,108,.274,.368,.462,.829,241,9,3,0,1,4,player.fcgi?id=asamur001hid
13,Akira Nakamura*,33,FKA,Fgn,,136,585,511,52,140,13,2,5,37,0,2,60,53,.274,.351,.337,.688,172,8,3,7,4,3,player.fcgi?id=nakamu000aki
14,Keita Nakagawa,27,ORX,Fgn,,135,563,506,66,136,29,5,12,55,5,5,43,90,.269,.334,.417,.751,211,9,7,6,1,0,player.fcgi?id=nakaga000kei
15,Takero Okajima,33,TOH,Fgn,,114,409,361,33,96,20,0,6,43,3,2,33,67,.266,.327,.371,.698,134,10,3,5,7,1,player.fcgi?id=okajim000tak
16,Chusei Mannami,23,NPN,Fgn,,141,582,533,69,141,33,0,25,74,2,1,41,138,.265,.321,.467,.788,249,12,4,2,2,2,player.fcgi?id=mannam000chu
17,Ryusei Satoh,26,SEI,Fgn,,91,257,209,27,55,9,3,3,16,2,1,42,41,.263,.390,.378,.768,79,6,2,3,1,0,player.fcgi?id=sato--001ryu
18,Ryosuke Tatsumi,26,TOH,Fgn,,133,495,434,45,114,16,5,9,43,13,4,40,99,.263,.341,.385,.726,167,3,12,8,1,0,player.fcgi?id=tatsum000ryo
19,Yuya Ogoh,26,TOH,Fgn,,120,441,390,53,102,16,3,10,49,13,8,36,85,.262,.321,.395,.716,154,3,1,8,6,0,player.fcgi?id=ogo---000yuy
20,Masaki Mimori,24,FKA,Fgn,,102,316,296,40,77,8,2,5,21,14,8,12,48,.260,.289,.351,.640,104,4,0,8,0,0,player.fcgi?id=mimori000mas
21,Shuta Tonosaki,30,SEI,Fgn,,136,571,503,60,131,28,3,12,54,26,3,56,114,.260,.338,.400,.738,201,11,5,3,4,0,player.fcgi?id=tonosa000shu
22,David MacKinnon,28,SEI,Fgn,,127,514,464,50,120,17,2,15,50,1,1,48,91,.259,.327,.401,.728,186,7,0,0,2,0,player.fcgi?id=mackin000dav
23,Taisei Makihara,30,FKA,Fgn,,91,387,359,40,93,13,1,2,32,3,2,11,66,.259,.287,.318,.604,114,6,5,7,5,1,player.fcgi?id=makiha000tai
24,Hiroto Kobukata,27,TOH,Fgn,,134,549,477,67,123,8,6,5,37,36,6,48,83,.258,.329,.331,.660,158,8,3,20,1,0,player.fcgi?id=kobuka000hir
