Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Shingo Kawabata,27,YKU,Fgn,,143,631,581,87,195,34,1,8,57,4,3,43,72,.336,.383,.439,.822,255,15,3,2,2,0,player.fcgi?id=kawaba001shi
2,Tetsuto Yamada,22,YKU,Fgn,,143,646,557,119,183,39,2,38,100,34,4,81,111,.329,.416,.610,1.027,340,11,5,0,3,1,player.fcgi?id=yamada000tet
3,Yoshi Tsutsugo,23,YKO,Fgn,,138,568,496,79,157,28,1,24,93,0,0,68,98,.317,.400,.522,.922,259,5,2,0,2,0,player.fcgi?id=tsutsu000yos
4,Ricardo Nanita*,34,CNI,Fgn,,52,169,156,9,48,12,0,0,15,1,0,9,24,.308,.351,.385,.736,60,4,2,1,1,0,player.fcgi?id=nanita001ric
5,Soichiro Tateoka,25,YOM,Fgn,,91,367,339,36,103,9,3,0,14,16,6,18,61,.304,.343,.348,.691,118,2,4,3,3,0,player.fcgi?id=tateok001soi
6,Sho Aranami,29,YKO,Fgn,,70,207,188,29,56,15,2,4,14,4,3,16,26,.298,.354,.463,.817,87,2,1,1,1,0,player.fcgi?id=aranam000sho
7,Kazuhiro Wada,43,CNI,Fgn,,79,234,218,16,65,8,0,5,26,1,0,14,40,.298,.346,.404,.750,88,9,2,0,0,0,player.fcgi?id=wada--001kaz
8,Atsushi Fujii,34,CNI,Fgn,,118,315,275,28,81,9,3,6,45,3,0,23,69,.295,.349,.415,.763,114,4,2,11,4,1,player.fcgi?id=fujii-001ats
9,Héctor Luna,35,CNI,Fgn,,134,564,496,61,145,26,1,8,60,11,0,57,77,.292,.367,.397,.764,197,13,5,0,6,2,player.fcgi?id=luna--001hec
10,José López,31,YKO,Fgn,,140,565,516,63,150,29,1,25,73,1,1,44,82,.291,.347,.496,.843,256,14,2,0,3,3,player.fcgi?id=lopez-007jos
11,Toshiro Miyazaki,26,YKO,Fgn,,58,163,152,13,44,8,0,1,10,0,0,6,21,.289,.331,.362,.693,55,5,4,0,1,0,player.fcgi?id=miyaza000tos
12,Ryosuke Hirata,27,CNI,Fgn,,130,559,491,76,139,27,3,13,53,11,7,64,86,.283,.369,.430,.799,211,5,3,1,0,1,player.fcgi?id=hirata001ryo
13,Ryota Imanari,27,HAN,Fgn,,93,304,269,25,76,7,0,1,16,1,1,24,78,.283,.345,.320,.664,86,1,2,8,1,0,player.fcgi?id=imanar001ryo
14,Kosuke Fukudome,38,HAN,Fgn,,140,569,495,53,139,24,3,20,76,1,2,65,75,.281,.361,.463,.824,229,15,1,1,7,1,player.fcgi?id=fukudo001kos
15,Takashi Toritani,34,HAN,Fgn,,143,646,551,69,155,21,4,6,42,9,6,89,77,.281,.380,.367,.747,202,8,1,2,3,2,player.fcgi?id=torita001tak
16,Ryuhei Matsuyama,29,HIR,Fgn,,100,229,202,14,56,13,0,7,26,1,1,23,30,.277,.349,.446,.795,90,8,1,0,3,0,player.fcgi?id=matsuy001ryu
17,Matt Murton,33,HAN,Fgn,,140,583,544,46,150,27,0,9,59,0,1,31,77,.276,.316,.375,.691,204,21,3,0,5,0,player.fcgi?id=murton001mat
18,Takahiro Arai,38,HIR,Fgn,,125,480,426,52,117,22,2,7,57,3,0,48,73,.275,.348,.385,.733,164,15,2,0,4,1,player.fcgi?id=arai--001tak
19,Takayuki Kajitani,26,YKO,Fgn,,134,578,520,70,143,35,2,13,66,28,13,54,132,.275,.342,.425,.767,221,4,0,2,2,0,player.fcgi?id=kajita001tak
20,Seiya Suzuki,20,HIR,Fgn,,97,238,211,21,58,6,3,5,25,6,7,16,38,.275,.329,.403,.732,85,3,2,7,2,0,player.fcgi?id=suzuki001sei
21,Kosuke Tanaka,25,HIR,Fgn,,141,590,543,61,149,33,9,8,45,6,7,34,105,.274,.325,.413,.737,224,8,7,5,1,2,player.fcgi?id=tanaka000kos
22,Yoshiyuki Kamei,32,YOM,Fgn,,109,432,382,42,104,21,0,6,35,8,1,40,59,.272,.338,.374,.712,143,6,1,3,6,0,player.fcgi?id=kamei-001yos
23,Mauro Gómez,30,HAN,Fgn,,143,601,520,49,141,28,0,17,72,0,1,72,134,.271,.364,.423,.787,220,15,6,0,3,1,player.fcgi?id=gomez-001mau
24,Anderson Hernández,32,CNI,Fgn,,138,547,498,54,135,27,2,11,58,5,3,35,106,.271,.317,.400,.716,199,13,0,10,4,1,player.fcgi?id=hernan001and
25,Yuhei Takai*,31,YKU,Fgn,,141,585,551,57,149,33,4,8,60,7,4,27,82,.270,.307,.388,.695,214,7,3,1,3,1,player.fcgi?id=takai-001yuh
26,Kyohei Kamezawa,26,CNI,Fgn,,107,376,331,30,89,6,2,0,12,9,8,15,44,.269,.304,.299,.603,99,3,2,27,1,0,player.fcgi?id=kameza000kyo
27,Hayato Sakamoto,26,YOM,Fgn,,130,558,479,50,129,21,3,12,68,10,4,65,79,.269,.353,.401,.754,192,5,0,9,5,1,player.fcgi?id=sakamo001hay
28,Kazuhiro Hatakeyama,32,YKU,Fgn,,137,584,512,64,137,26,0,26,105,0,0,62,92,.268,.344,.471,.815,241,10,2,0,8,0,player.fcgi?id=hatake001kaz
29,Tsuyoshi Ueda,26,YKU,Fgn,,82,238,209,18,55,2,2,1,19,8,1,14,29,.263,.313,.306,.619,64,5,2,11,2,0,player.fcgi?id=ueda--001tsu
30,Masahiko Morino,36,CNI,Fgn,,82,252,206,25,54,8,0,0,10,2,0,37,38,.262,.378,.301,.678,62,0,3,3,3,1,player.fcgi?id=morino001mas
31,Tsuyoshi Nishioka,30,HAN,Fgn,,50,196,172,20,45,8,0,2,14,1,3,22,21,.262,.347,.343,.690,59,5,1,0,1,0,player.fcgi?id=nishio002tsu
