Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Ryuhei Matsuyama,31,HIR,Fgn,,120,387,350,39,114,23,4,14,77,0,0,31,45,.326,.375,.534,.909,187,8,0,0,6,0,player.fcgi?id=matsuy001ryu
2,Toshiro Miyazaki,28,YKO,Fgn,,128,523,480,53,155,28,1,15,62,0,0,38,47,.323,.377,.479,.856,230,23,4,0,1,1,player.fcgi?id=miyaza000tos
3,Casey McGehee,34,YOM,Fgn,,139,586,523,67,165,48,1,18,77,4,1,58,107,.315,.382,.514,.897,269,20,1,0,4,4,player.fcgi?id=mcgehe001cas
4,Yohei Ohshima*,31,CNI,Fgn,,119,521,476,50,149,20,3,3,29,23,6,37,66,.313,.365,.387,.752,184,5,4,1,3,0,player.fcgi?id=oshima001yoh
5,Tomohiro Abe,28,HIR,Fgn,,123,455,413,63,128,17,4,4,49,17,5,27,94,.310,.354,.400,.754,165,3,2,12,1,1,player.fcgi?id=abe---000tom
6,Shunsuke Fujikawa,29,HAN,Fgn,,74,202,191,26,59,15,1,4,23,1,0,9,33,.309,.340,.461,.801,88,1,0,2,0,0,player.fcgi?id=fujika001shu
7,Yoshihiro Maru,28,HIR,Fgn,,143,651,556,109,171,35,3,23,92,13,3,83,113,.308,.398,.505,.903,281,6,4,2,6,0,player.fcgi?id=maru--001yos
8,Yuhei Takai*,33,YKU,Fgn,,71,300,281,29,86,21,0,2,32,2,3,12,42,.306,.343,.402,.745,113,5,5,0,2,0,player.fcgi?id=takai-001yuh
9,José López,33,YKO,Fgn,,142,606,569,72,171,42,0,30,105,0,0,27,80,.301,.330,.533,.863,303,14,2,0,8,0,player.fcgi?id=lopez-007jos
10,Seiya Suzuki,22,HIR,Fgn,,115,512,437,85,131,28,1,26,90,16,6,62,80,.300,.389,.547,.936,239,12,6,0,7,0,player.fcgi?id=suzuki001sei
11,Takashi Toritani,36,HAN,Fgn,,143,570,488,57,143,23,3,4,41,8,7,77,62,.293,.390,.377,.767,184,13,2,1,2,3,player.fcgi?id=torita001tak
12,Takahiro Arai,40,HIR,Fgn,,100,288,243,36,71,14,0,9,48,2,0,40,56,.292,.389,.461,.850,112,7,1,0,4,0,player.fcgi?id=arai--001tak
13,Hayato Sakamoto,28,YOM,Fgn,,142,614,539,82,157,30,0,15,61,14,6,68,85,.291,.372,.430,.802,232,16,3,1,3,2,player.fcgi?id=sakamo001hay
14,Yoshio Itoi,35,HAN,Fgn,,114,493,427,60,124,16,0,17,62,21,6,59,62,.290,.381,.447,.829,191,12,5,0,2,0,player.fcgi?id=itoi--001yos
15,Tomotaka Sakaguchi,32,YKU,Fgn,,136,607,535,51,155,16,2,4,38,4,3,59,76,.290,.364,.350,.713,187,6,5,5,3,2,player.fcgi?id=sakagu001tom
16,Kosuke Tanaka,27,HIR,Fgn,,143,679,565,105,164,32,5,8,60,35,13,89,120,.290,.398,.407,.805,230,5,15,6,4,2,player.fcgi?id=tanaka000kos
17,Kyohei Kamezawa,28,CNI,Fgn,,98,290,254,31,73,5,0,2,13,6,6,13,30,.287,.327,.331,.658,84,1,3,18,2,0,player.fcgi?id=kameza000kyo
18,Yoshi Tsutsugo,25,YKO,Fgn,,139,601,503,85,143,31,0,28,94,1,0,93,115,.284,.396,.513,.909,258,7,2,0,3,3,player.fcgi?id=tsutsu000yos
19,Hiroki Uemoto,30,HAN,Fgn,,125,488,409,57,116,20,1,9,38,16,1,50,71,.284,.366,.403,.769,165,7,4,23,2,0,player.fcgi?id=uemoto001hir
20,Yamato Maeda,29,HAN,Fgn,,100,252,232,25,65,6,0,1,16,2,3,18,37,.280,.331,.319,.650,74,5,0,1,1,0,player.fcgi?id=maeda-001yam
21,Alex Guerrero,30,CNI,Fgn,,130,510,469,67,131,22,3,35,86,1,0,24,98,.279,.333,.563,.896,264,13,15,0,2,0,player.fcgi?id=guerre002ale
22,Tsubasa Aizawa,29,HIR,Fgn,,106,329,287,35,79,15,0,6,35,0,0,22,45,.275,.339,.390,.729,112,12,7,10,3,1,player.fcgi?id=aizawa001tsu
23,Ryoma Nishikawa,22,HIR,Fgn,,95,220,204,23,56,10,2,5,27,4,1,10,35,.275,.309,.417,.725,85,4,1,3,2,0,player.fcgi?id=nishik000ryo
24,Nobumasa Fukuda,28,CNI,Fgn,,95,326,299,37,81,19,0,18,49,0,1,21,70,.271,.328,.515,.843,154,4,5,0,1,0,player.fcgi?id=fukuda001nob
25,Ryosuke Kikuchi,27,HIR,Fgn,,138,629,565,87,153,28,3,14,56,8,7,32,107,.271,.311,.405,.716,229,9,1,30,1,0,player.fcgi?id=kikuch000ryo
26,Masayuki Kuwahara,23,YKO,Fgn,,143,664,598,87,161,38,5,13,52,10,11,45,116,.269,.332,.415,.747,248,8,11,10,0,0,player.fcgi?id=kuwaha000mas
27,Brad Eldred,36,HIR,Fgn,,116,405,344,40,91,11,0,27,78,0,0,50,111,.265,.368,.532,.900,183,8,8,0,3,0,player.fcgi?id=eldred001bra
28,Atsushi Fujii,36,CNI,Fgn,,128,408,374,29,99,18,3,6,42,5,6,24,96,.265,.311,.377,.688,141,6,2,6,2,0,player.fcgi?id=fujii-001ats
29,Yota Kyoda,23,CNI,Fgn,,141,602,564,67,149,23,8,4,36,23,13,18,105,.264,.297,.355,.652,200,5,9,10,1,0,player.fcgi?id=kyoda-000yot
30,Daikan Yoh,30,YOM,Fgn,,87,381,330,46,87,18,1,9,33,4,2,41,80,.264,.356,.406,.762,134,6,7,2,1,0,player.fcgi?id=yang--001chu
31,Kosuke Fukudome,40,HAN,Fgn,,127,526,441,68,116,20,3,18,79,1,2,77,92,.263,.373,.444,.818,196,17,3,1,4,1,player.fcgi?id=fukudo001kos
32,Shinnosuke Abe,38,YOM,Fgn,,129,512,455,41,119,13,0,15,76,0,1,41,67,.262,.329,.389,.718,177,13,8,1,7,1,player.fcgi?id=abe---001shi
33,Toshihiko Kuramoto,26,YKO,Fgn,,143,539,507,49,133,27,1,2,50,3,1,18,102,.262,.292,.331,.624,168,10,4,9,1,0,player.fcgi?id=kuramo000tos
34,Shuichi Murata,36,YOM,Fgn,,118,424,381,41,100,19,0,14,58,0,0,34,63,.262,.331,.423,.754,161,15,6,1,2,0,player.fcgi?id=murata001shu
35,Hisayoshi Chono,32,YOM,Fgn,,134,516,463,52,121,20,3,16,46,6,0,46,98,.261,.334,.421,.755,195,17,5,1,1,2,player.fcgi?id=chono-001his
36,Kento Itohara,24,HAN,Fgn,,66,193,162,18,42,13,0,1,24,1,0,23,26,.259,.362,.358,.720,58,1,3,5,0,0,player.fcgi?id=itohar000ken
37,Ryota Fujii,28,YKU,Fgn,,97,309,292,20,75,3,0,2,12,5,3,9,56,.257,.281,.288,.568,84,6,1,6,1,0,player.fcgi?id=fujii-000ryo
38,Wladimir Balentien,32,YKU,Fgn,,125,519,445,60,113,14,1,32,80,0,1,70,112,.254,.358,.506,.864,225,18,3,0,1,0,player.fcgi?id=balent001wla
39,Yoshiyuki Kamei,34,YOM,Fgn,,109,277,247,20,62,16,0,6,47,1,0,27,38,.251,.325,.389,.714,96,4,1,0,2,1,player.fcgi?id=kamei-001yos
40,Shun Takayama,24,HAN,Fgn,,103,353,328,40,82,15,3,6,24,6,3,21,77,.250,.300,.369,.669,121,3,3,0,1,0,player.fcgi?id=takaya000shu
41,Dayán Viciedo,28,CNI,Fgn,,87,367,332,43,83,11,1,18,49,4,0,29,52,.250,.319,.452,.771,150,10,5,0,1,0,player.fcgi?id=vicied001day
42,Masahiro Araki,39,CNI,Fgn,,85,267,249,17,62,6,1,0,8,5,0,13,41,.249,.286,.281,.567,70,8,0,5,0,0,player.fcgi?id=araki-001mas
43,Daisuke Nakai,27,YOM,Fgn,,90,254,229,32,57,12,1,5,15,2,1,19,44,.249,.308,.376,.684,86,5,1,4,1,0,player.fcgi?id=nakai-001dai
44,Tetsuto Yamada,24,YKU,Fgn,,143,624,526,79,130,25,1,24,78,14,4,91,132,.247,.364,.435,.799,229,15,6,0,1,1,player.fcgi?id=yamada000tet
45,Takehiro Ishikawa,30,YKO,Fgn,,63,192,167,18,41,7,0,2,11,1,1,12,41,.246,.306,.323,.630,54,4,4,6,3,0,player.fcgi?id=ishika001tak
46,Ryosuke Hirata,29,CNI,Fgn,,66,270,238,26,58,14,2,6,29,4,0,29,60,.244,.326,.395,.721,94,4,1,0,2,0,player.fcgi?id=hirata001ryo
47,Takayuki Kajitani,28,YKO,Fgn,,137,578,511,83,124,27,2,21,60,21,3,62,157,.243,.327,.427,.754,218,10,3,0,2,2,player.fcgi?id=kajita001tak
48,Yuhei Nakamura,27,YKU,Fgn,,127,486,419,42,102,14,4,4,34,2,1,42,65,.243,.324,.325,.649,136,14,10,11,4,0,player.fcgi?id=nakamu001yuh
49,Shingo Ishikawa,24,YOM,Fgn,,99,251,236,21,57,12,3,5,20,2,0,13,51,.242,.287,.381,.668,90,8,2,0,0,0,player.fcgi?id=ishika000shi
