Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Seiya Suzuki,24,HIR,Fgn,,140,612,499,112,167,31,0,28,87,25,16,103,81,.335,.453,.565,1.018,282,3,7,0,3,12,player.fcgi?id=suzuki001sei
2,Zoilo Almonte,30,CNI,Fgn,,49,174,164,19,54,8,0,7,25,0,1,8,37,.329,.362,.506,.868,83,6,1,0,1,1,player.fcgi?id=almont001zoi
3,Dayán Viciedo,30,CNI,Fgn,,143,594,534,56,168,43,0,18,93,2,1,41,88,.315,.374,.496,.870,265,22,13,0,6,9,player.fcgi?id=vicied001day
4,Yoshio Itoi,37,HAN,Fgn,,103,444,382,45,120,22,1,5,42,9,5,52,63,.314,.403,.416,.819,159,10,7,0,3,7,player.fcgi?id=itoi--001yos
5,Yohei Ohshima*,33,CNI,Fgn,,143,623,558,89,174,23,3,3,45,30,7,50,78,.312,.376,.380,.756,212,5,9,3,3,3,player.fcgi?id=oshima001yoh
6,Hayato Sakamoto,30,YOM,Fgn,,143,639,555,103,173,26,0,40,94,5,3,77,123,.312,.396,.575,.971,319,9,2,3,2,6,player.fcgi?id=sakamo001hay
7,Shinnosuke Abe,40,YOM,Fgn,,95,192,158,15,47,8,0,7,27,0,0,28,23,.297,.411,.481,.892,76,1,4,0,2,2,player.fcgi?id=abe---001shi
8,Nori Aoki,37,YKU,Fgn,,134,565,489,84,145,19,2,16,58,1,2,61,72,.297,.385,.442,.826,216,13,11,1,3,2,player.fcgi?id=aoki--001nor
9,Ryoma Nishikawa,24,HIR,Fgn,,138,585,535,70,159,23,3,16,64,6,7,32,81,.297,.336,.441,.777,236,9,2,11,5,4,player.fcgi?id=nishik000ryo
10,Keita Sano,24,YKO,Fgn,,89,215,200,23,59,10,0,5,33,0,0,13,39,.295,.344,.420,.764,84,9,2,0,0,1,player.fcgi?id=sano--000kei
11,Shuhei Takahashi,25,CNI,Fgn,,117,471,430,50,126,28,5,7,59,3,4,32,70,.293,.345,.430,.776,185,10,3,5,1,7,player.fcgi?id=takaha000shu
12,Yoshihiro Maru,30,YOM,Fgn,,143,631,535,82,156,26,1,27,89,12,5,86,125,.292,.388,.495,.884,265,15,3,0,7,3,player.fcgi?id=maru--001yos
13,Toshiki Abe,29,CNI,Fgn,,129,484,447,51,130,24,3,7,59,1,0,31,82,.291,.337,.405,.742,181,9,1,3,2,3,player.fcgi?id=abe---001tos
14,Nobumasa Fukuda,30,CNI,Fgn,,105,352,310,55,89,18,0,18,66,0,1,32,69,.287,.358,.519,.877,161,7,5,0,5,4,player.fcgi?id=fukuda001nob
